00:19:21,240 INFO Experiment.PerfCost-fa65: Processed 2170 samples out of 10000, 0 errors
00:19:31,421 INFO Experiment.PerfCost-fa65: Processed 2180 samples out of 10000, 0 errors
00:19:41,612 INFO Experiment.PerfCost-fa65: Processed 2190 samples out of 10000, 0 errors
00:19:51,811 INFO Experiment.PerfCost-fa65: Processed 2200 samples out of 10000, 0 errors
00:20:02,13 INFO Experiment.PerfCost-fa65: Processed 2210 samples out of 10000, 0 errors
00:20:12,199 INFO Experiment.PerfCost-fa65: Processed 2220 samples out of 10000, 0 errors
00:20:22,388 INFO Experiment.PerfCost-fa65: Processed 2230 samples out of 10000, 0 errors
00:20:32,586 INFO Experiment.PerfCost-fa65: Processed 2240 samples out of 10000, 0 errors
00:20:42,786 INFO Experiment.PerfCost-fa65: Processed 2250 samples out of 10000, 0 errors
00:20:52,979 INFO Experiment.PerfCost-fa65: Processed 2260 samples out of 10000, 0 errors
00:21:03,168 INFO Experiment.PerfCost-fa65: Processed 2270 samples out of 10000, 0 errors
00:21:13,354 INFO Experiment.PerfCost-fa65: Processed 2280 samples out of 10000, 0 errors
00:21:23,539 INFO Experiment.PerfCost-fa65: Processed 2290 samples out of 10000, 0 errors
00:21:33,717 INFO Experiment.PerfCost-fa65: Processed 2300 samples out of 10000, 0 errors
00:21:43,910 INFO Experiment.PerfCost-fa65: Processed 2310 samples out of 10000, 0 errors
00:21:54,105 INFO Experiment.PerfCost-fa65: Processed 2320 samples out of 10000, 0 errors
00:22:04,299 INFO Experiment.PerfCost-fa65: Processed 2330 samples out of 10000, 0 errors
00:22:14,486 INFO Experiment.PerfCost-fa65: Processed 2340 samples out of 10000, 0 errors
00:22:24,691 INFO Experiment.PerfCost-fa65: Processed 2350 samples out of 10000, 0 errors
00:22:34,870 INFO Experiment.PerfCost-fa65: Processed 2360 samples out of 10000, 0 errors
00:22:45,55 INFO Experiment.PerfCost-fa65: Processed 2370 samples out of 10000, 0 errors
00:22:55,251 INFO Experiment.PerfCost-fa65: Processed 2380 samples out of 10000, 0 errors
00:23:05,433 INFO Experiment.PerfCost-fa65: Processed 2390 samples out of 10000, 0 errors
00:23:15,770 INFO Experiment.PerfCost-fa65: Processed 2400 samples out of 10000, 0 errors
00:23:25,955 INFO Experiment.PerfCost-fa65: Processed 2410 samples out of 10000, 0 errors
00:23:36,149 INFO Experiment.PerfCost-fa65: Processed 2420 samples out of 10000, 0 errors
00:23:46,334 INFO Experiment.PerfCost-fa65: Processed 2430 samples out of 10000, 0 errors
00:23:56,525 INFO Experiment.PerfCost-fa65: Processed 2440 samples out of 10000, 0 errors
00:24:06,716 INFO Experiment.PerfCost-fa65: Processed 2450 samples out of 10000, 0 errors
00:24:16,912 INFO Experiment.PerfCost-fa65: Processed 2460 samples out of 10000, 0 errors
00:24:27,106 INFO Experiment.PerfCost-fa65: Processed 2470 samples out of 10000, 0 errors
00:24:37,294 INFO Experiment.PerfCost-fa65: Processed 2480 samples out of 10000, 0 errors
00:24:47,472 INFO Experiment.PerfCost-fa65: Processed 2490 samples out of 10000, 0 errors
00:24:57,655 INFO Experiment.PerfCost-fa65: Processed 2500 samples out of 10000, 0 errors
00:25:07,839 INFO Experiment.PerfCost-fa65: Processed 2510 samples out of 10000, 0 errors
00:25:18,43 INFO Experiment.PerfCost-fa65: Processed 2520 samples out of 10000, 0 errors
00:25:28,236 INFO Experiment.PerfCost-fa65: Processed 2530 samples out of 10000, 0 errors
00:25:38,445 INFO Experiment.PerfCost-fa65: Processed 2540 samples out of 10000, 0 errors
00:25:48,677 INFO Experiment.PerfCost-fa65: Processed 2550 samples out of 10000, 0 errors
00:25:58,873 INFO Experiment.PerfCost-fa65: Processed 2560 samples out of 10000, 0 errors
00:26:09,63 INFO Experiment.PerfCost-fa65: Processed 2570 samples out of 10000, 0 errors
00:26:19,256 INFO Experiment.PerfCost-fa65: Processed 2580 samples out of 10000, 0 errors
00:26:29,454 INFO Experiment.PerfCost-fa65: Processed 2590 samples out of 10000, 0 errors
00:26:39,637 INFO Experiment.PerfCost-fa65: Processed 2600 samples out of 10000, 0 errors
00:26:49,830 INFO Experiment.PerfCost-fa65: Processed 2610 samples out of 10000, 0 errors
00:27:00,21 INFO Experiment.PerfCost-fa65: Processed 2620 samples out of 10000, 0 errors
00:27:10,199 INFO Experiment.PerfCost-fa65: Processed 2630 samples out of 10000, 0 errors
00:27:20,380 INFO Experiment.PerfCost-fa65: Processed 2640 samples out of 10000, 0 errors
00:27:30,578 INFO Experiment.PerfCost-fa65: Processed 2650 samples out of 10000, 0 errors
00:27:40,765 INFO Experiment.PerfCost-fa65: Processed 2660 samples out of 10000, 0 errors
00:27:50,961 INFO Experiment.PerfCost-fa65: Processed 2670 samples out of 10000, 0 errors
00:28:01,146 INFO Experiment.PerfCost-fa65: Processed 2680 samples out of 10000, 0 errors
00:28:11,335 INFO Experiment.PerfCost-fa65: Processed 2690 samples out of 10000, 0 errors
00:28:21,590 INFO Experiment.PerfCost-fa65: Processed 2700 samples out of 10000, 0 errors
00:28:31,784 INFO Experiment.PerfCost-fa65: Processed 2710 samples out of 10000, 0 errors
00:28:41,973 INFO Experiment.PerfCost-fa65: Processed 2720 samples out of 10000, 0 errors
00:28:52,164 INFO Experiment.PerfCost-fa65: Processed 2730 samples out of 10000, 0 errors
00:29:02,351 INFO Experiment.PerfCost-fa65: Processed 2740 samples out of 10000, 0 errors
00:29:12,540 INFO Experiment.PerfCost-fa65: Processed 2750 samples out of 10000, 0 errors
00:29:22,738 INFO Experiment.PerfCost-fa65: Processed 2760 samples out of 10000, 0 errors
00:29:32,937 INFO Experiment.PerfCost-fa65: Processed 2770 samples out of 10000, 0 errors
00:29:43,115 INFO Experiment.PerfCost-fa65: Processed 2780 samples out of 10000, 0 errors
00:29:53,297 INFO Experiment.PerfCost-fa65: Processed 2790 samples out of 10000, 0 errors
00:30:03,485 INFO Experiment.PerfCost-fa65: Processed 2800 samples out of 10000, 0 errors
00:30:13,672 INFO Experiment.PerfCost-fa65: Processed 2810 samples out of 10000, 0 errors
