01:32:40,831 INFO SeBS-6b5f: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/640.video-processing-otel
01:32:41,157 INFO OpenWhisk.Resources-6348: Using user-provided configuration of storage for OpenWhisk.
01:32:41,158 INFO OpenWhisk-cf5b: Using existing resource name: fd5e1ae0.
01:32:41,160 INFO Benchmark-726d: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
02:01:19,413 INFO Experiment.PerfCost-3479: Processed 1220 samples out of 10000, 0 errors
02:01:33,175 INFO Experiment.PerfCost-3479: Processed 1230 samples out of 10000, 0 errors
02:01:46,875 INFO Experiment.PerfCost-3479: Processed 1240 samples out of 10000, 0 errors
02:02:00,599 INFO Experiment.PerfCost-3479: Processed 1250 samples out of 10000, 0 errors
02:02:15,98 INFO Experiment.PerfCost-3479: Processed 1260 samples out of 10000, 0 errors
02:02:28,878 INFO Experiment.PerfCost-3479: Processed 1270 samples out of 10000, 0 errors
02:02:42,634 INFO Experiment.PerfCost-3479: Processed 1280 samples out of 10000, 0 errors
02:02:57,309 INFO Experiment.PerfCost-3479: Processed 1290 samples out of 10000, 0 errors
02:03:11,82 INFO Experiment.PerfCost-3479: Processed 1300 samples out of 10000, 0 errors
02:03:23,467 INFO Experiment.PerfCost-3479: Processed 1310 samples out of 10000, 0 errors
02:03:38,321 INFO Experiment.PerfCost-3479: Processed 1320 samples out of 10000, 0 errors
02:03:52,72 INFO Experiment.PerfCost-3479: Processed 1330 samples out of 10000, 0 errors
02:04:05,824 INFO Experiment.PerfCost-3479: Processed 1340 samples out of 10000, 0 errors
02:04:20,688 INFO Experiment.PerfCost-3479: Processed 1350 samples out of 10000, 0 errors
02:04:34,442 INFO Experiment.PerfCost-3479: Processed 1360 samples out of 10000, 0 errors
02:04:49,974 INFO Experiment.PerfCost-3479: Processed 1370 samples out of 10000, 0 errors
02:05:03,703 INFO Experiment.PerfCost-3479: Processed 1380 samples out of 10000, 0 errors
02:05:18,348 INFO Experiment.PerfCost-3479: Processed 1390 samples out of 10000, 0 errors
02:05:32,103 INFO Experiment.PerfCost-3479: Processed 1400 samples out of 10000, 0 errors
02:05:45,871 INFO Experiment.PerfCost-3479: Processed 1410 samples out of 10000, 0 errors
02:05:59,609 INFO Experiment.PerfCost-3479: Processed 1420 samples out of 10000, 0 errors
02:06:14,458 INFO Experiment.PerfCost-3479: Processed 1430 samples out of 10000, 0 errors
02:06:28,201 INFO Experiment.PerfCost-3479: Processed 1440 samples out of 10000, 0 errors
02:06:42,677 INFO Experiment.PerfCost-3479: Processed 1450 samples out of 10000, 0 errors
02:06:56,426 INFO Experiment.PerfCost-3479: Processed 1460 samples out of 10000, 0 errors
02:07:10,194 INFO Experiment.PerfCost-3479: Processed 1470 samples out of 10000, 0 errors
02:07:23,920 INFO Experiment.PerfCost-3479: Processed 1480 samples out of 10000, 0 errors
02:07:37,685 INFO Experiment.PerfCost-3479: Processed 1490 samples out of 10000, 0 errors
02:07:52,377 INFO Experiment.PerfCost-3479: Processed 1500 samples out of 10000, 0 errors
02:08:06,130 INFO Experiment.PerfCost-3479: Processed 1510 samples out of 10000, 0 errors
02:08:19,876 INFO Experiment.PerfCost-3479: Processed 1520 samples out of 10000, 0 errors
02:08:33,634 INFO Experiment.PerfCost-3479: Processed 1530 samples out of 10000, 0 errors
02:08:47,357 INFO Experiment.PerfCost-3479: Processed 1540 samples out of 10000, 0 errors
02:09:01,918 INFO Experiment.PerfCost-3479: Processed 1550 samples out of 10000, 0 errors
02:09:16,662 INFO Experiment.PerfCost-3479: Processed 1560 samples out of 10000, 0 errors
02:09:29,285 INFO Experiment.PerfCost-3479: Processed 1570 samples out of 10000, 0 errors
02:09:43,121 INFO Experiment.PerfCost-3479: Processed 1580 samples out of 10000, 0 errors
02:09:56,831 INFO Experiment.PerfCost-3479: Processed 1590 samples out of 10000, 0 errors
02:10:10,562 INFO Experiment.PerfCost-3479: Processed 1600 samples out of 10000, 0 errors
02:10:24,339 INFO Experiment.PerfCost-3479: Processed 1610 samples out of 10000, 0 errors
02:10:38,22 INFO Experiment.PerfCost-3479: Processed 1620 samples out of 10000, 0 errors
02:10:51,825 INFO Experiment.PerfCost-3479: Processed 1630 samples out of 10000, 0 errors
02:11:05,584 INFO Experiment.PerfCost-3479: Processed 1640 samples out of 10000, 0 errors
02:11:21,424 INFO Experiment.PerfCost-3479: Processed 1650 samples out of 10000, 0 errors
02:11:35,156 INFO Experiment.PerfCost-3479: Processed 1660 samples out of 10000, 0 errors
02:11:49,674 INFO Experiment.PerfCost-3479: Processed 1670 samples out of 10000, 0 errors
02:12:03,425 INFO Experiment.PerfCost-3479: Processed 1680 samples out of 10000, 0 errors
02:12:17,186 INFO Experiment.PerfCost-3479: Processed 1690 samples out of 10000, 0 errors
02:12:30,942 INFO Experiment.PerfCost-3479: Processed 1700 samples out of 10000, 0 errors
02:12:44,715 INFO Experiment.PerfCost-3479: Processed 1710 samples out of 10000, 0 errors
02:12:59,564 INFO Experiment.PerfCost-3479: Processed 1720 samples out of 10000, 0 errors
02:13:13,330 INFO Experiment.PerfCost-3479: Processed 1730 samples out of 10000, 0 errors
02:13:28,76 INFO Experiment.PerfCost-3479: Processed 1740 samples out of 10000, 0 errors
02:13:40,371 INFO Experiment.PerfCost-3479: Processed 1750 samples out of 10000, 0 errors
02:13:54,146 INFO Experiment.PerfCost-3479: Processed 1760 samples out of 10000, 0 errors
02:14:09,640 INFO Experiment.PerfCost-3479: Processed 1770 samples out of 10000, 0 errors
02:14:23,396 INFO Experiment.PerfCost-3479: Processed 1780 samples out of 10000, 0 errors
02:14:37,170 INFO Experiment.PerfCost-3479: Processed 1790 samples out of 10000, 0 errors
02:14:50,961 INFO Experiment.PerfCost-3479: Processed 1800 samples out of 10000, 0 errors
02:15:05,421 INFO Experiment.PerfCost-3479: Processed 1810 samples out of 10000, 0 errors
02:15:19,124 INFO Experiment.PerfCost-3479: Processed 1820 samples out of 10000, 0 errors
