15:28:29,806 INFO Experiment.PerfCost-eae5: Processed 2250 samples out of 10000, 0 errors
15:28:39,927 INFO Experiment.PerfCost-eae5: Processed 2260 samples out of 10000, 0 errors
15:28:50,65 INFO Experiment.PerfCost-eae5: Processed 2270 samples out of 10000, 0 errors
15:29:00,195 INFO Experiment.PerfCost-eae5: Processed 2280 samples out of 10000, 0 errors
15:29:10,331 INFO Experiment.PerfCost-eae5: Processed 2290 samples out of 10000, 0 errors
15:29:20,465 INFO Experiment.PerfCost-eae5: Processed 2300 samples out of 10000, 0 errors
15:29:30,575 INFO Experiment.PerfCost-eae5: Processed 2310 samples out of 10000, 0 errors
15:29:40,699 INFO Experiment.PerfCost-eae5: Processed 2320 samples out of 10000, 0 errors
15:29:50,807 INFO Experiment.PerfCost-eae5: Processed 2330 samples out of 10000, 0 errors
15:30:00,915 INFO Experiment.PerfCost-eae5: Processed 2340 samples out of 10000, 0 errors
15:30:11,31 INFO Experiment.PerfCost-eae5: Processed 2350 samples out of 10000, 0 errors
15:30:21,194 INFO Experiment.PerfCost-eae5: Processed 2360 samples out of 10000, 0 errors
15:30:31,327 INFO Experiment.PerfCost-eae5: Processed 2370 samples out of 10000, 0 errors
15:30:41,456 INFO Experiment.PerfCost-eae5: Processed 2380 samples out of 10000, 0 errors
15:30:51,590 INFO Experiment.PerfCost-eae5: Processed 2390 samples out of 10000, 0 errors
15:31:01,757 INFO Experiment.PerfCost-eae5: Processed 2400 samples out of 10000, 0 errors
15:31:11,879 INFO Experiment.PerfCost-eae5: Processed 2410 samples out of 10000, 0 errors
15:31:22,11 INFO Experiment.PerfCost-eae5: Processed 2420 samples out of 10000, 0 errors
15:31:32,130 INFO Experiment.PerfCost-eae5: Processed 2430 samples out of 10000, 0 errors
15:31:42,271 INFO Experiment.PerfCost-eae5: Processed 2440 samples out of 10000, 0 errors
15:31:52,404 INFO Experiment.PerfCost-eae5: Processed 2450 samples out of 10000, 0 errors
15:32:02,519 INFO Experiment.PerfCost-eae5: Processed 2460 samples out of 10000, 0 errors
15:32:12,662 INFO Experiment.PerfCost-eae5: Processed 2470 samples out of 10000, 0 errors
15:32:22,792 INFO Experiment.PerfCost-eae5: Processed 2480 samples out of 10000, 0 errors
15:32:32,916 INFO Experiment.PerfCost-eae5: Processed 2490 samples out of 10000, 0 errors
15:32:43,40 INFO Experiment.PerfCost-eae5: Processed 2500 samples out of 10000, 0 errors
15:32:53,223 INFO Experiment.PerfCost-eae5: Processed 2510 samples out of 10000, 0 errors
15:33:03,321 INFO Experiment.PerfCost-eae5: Processed 2520 samples out of 10000, 0 errors
15:33:13,435 INFO Experiment.PerfCost-eae5: Processed 2530 samples out of 10000, 0 errors
15:33:23,562 INFO Experiment.PerfCost-eae5: Processed 2540 samples out of 10000, 0 errors
15:33:33,688 INFO Experiment.PerfCost-eae5: Processed 2550 samples out of 10000, 0 errors
15:33:43,804 INFO Experiment.PerfCost-eae5: Processed 2560 samples out of 10000, 0 errors
15:33:53,936 INFO Experiment.PerfCost-eae5: Processed 2570 samples out of 10000, 0 errors
15:34:04,74 INFO Experiment.PerfCost-eae5: Processed 2580 samples out of 10000, 0 errors
15:34:14,218 INFO Experiment.PerfCost-eae5: Processed 2590 samples out of 10000, 0 errors
15:34:24,316 INFO Experiment.PerfCost-eae5: Processed 2600 samples out of 10000, 0 errors
15:34:34,448 INFO Experiment.PerfCost-eae5: Processed 2610 samples out of 10000, 0 errors
15:34:44,575 INFO Experiment.PerfCost-eae5: Processed 2620 samples out of 10000, 0 errors
15:34:54,718 INFO Experiment.PerfCost-eae5: Processed 2630 samples out of 10000, 0 errors
15:35:04,851 INFO Experiment.PerfCost-eae5: Processed 2640 samples out of 10000, 0 errors
15:35:14,989 INFO Experiment.PerfCost-eae5: Processed 2650 samples out of 10000, 0 errors
15:35:25,109 INFO Experiment.PerfCost-eae5: Processed 2660 samples out of 10000, 0 errors
15:35:35,226 INFO Experiment.PerfCost-eae5: Processed 2670 samples out of 10000, 0 errors
15:35:45,364 INFO Experiment.PerfCost-eae5: Processed 2680 samples out of 10000, 0 errors
15:35:55,495 INFO Experiment.PerfCost-eae5: Processed 2690 samples out of 10000, 0 errors
15:36:05,648 INFO Experiment.PerfCost-eae5: Processed 2700 samples out of 10000, 0 errors
15:36:15,779 INFO Experiment.PerfCost-eae5: Processed 2710 samples out of 10000, 0 errors
15:36:25,907 INFO Experiment.PerfCost-eae5: Processed 2720 samples out of 10000, 0 errors
15:36:36,43 INFO Experiment.PerfCost-eae5: Processed 2730 samples out of 10000, 0 errors
15:36:46,172 INFO Experiment.PerfCost-eae5: Processed 2740 samples out of 10000, 0 errors
15:36:56,307 INFO Experiment.PerfCost-eae5: Processed 2750 samples out of 10000, 0 errors
15:37:06,424 INFO Experiment.PerfCost-eae5: Processed 2760 samples out of 10000, 0 errors
15:37:16,576 INFO Experiment.PerfCost-eae5: Processed 2770 samples out of 10000, 0 errors
15:37:26,709 INFO Experiment.PerfCost-eae5: Processed 2780 samples out of 10000, 0 errors
15:37:36,819 INFO Experiment.PerfCost-eae5: Processed 2790 samples out of 10000, 0 errors
15:37:46,965 INFO Experiment.PerfCost-eae5: Processed 2800 samples out of 10000, 0 errors
15:37:57,83 INFO Experiment.PerfCost-eae5: Processed 2810 samples out of 10000, 0 errors
15:38:07,217 INFO Experiment.PerfCost-eae5: Processed 2820 samples out of 10000, 0 errors
15:38:17,373 INFO Experiment.PerfCost-eae5: Processed 2830 samples out of 10000, 0 errors
15:38:27,498 INFO Experiment.PerfCost-eae5: Processed 2840 samples out of 10000, 0 errors
15:38:37,635 INFO Experiment.PerfCost-eae5: Processed 2850 samples out of 10000, 0 errors
15:38:47,774 INFO Experiment.PerfCost-eae5: Processed 2860 samples out of 10000, 0 errors
15:38:57,887 INFO Experiment.PerfCost-eae5: Processed 2870 samples out of 10000, 0 errors
