22:39:52,480 INFO SeBS-1771: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/630.thumbnailer-otel
22:39:52,835 INFO OpenWhisk.Resources-c972: Using user-provided configuration of storage for OpenWhisk.
22:39:52,836 INFO OpenWhisk-685d: Using existing resource name: fd5e1ae0.
22:39:52,838 INFO Benchmark-27df: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
23:05:56,758 INFO Experiment.PerfCost-3e8c: Processed 1500 samples out of 10000, 0 errors
23:06:07,91 INFO Experiment.PerfCost-3e8c: Processed 1510 samples out of 10000, 0 errors
23:06:17,430 INFO Experiment.PerfCost-3e8c: Processed 1520 samples out of 10000, 0 errors
23:06:27,752 INFO Experiment.PerfCost-3e8c: Processed 1530 samples out of 10000, 0 errors
23:06:38,80 INFO Experiment.PerfCost-3e8c: Processed 1540 samples out of 10000, 0 errors
23:06:48,407 INFO Experiment.PerfCost-3e8c: Processed 1550 samples out of 10000, 0 errors
23:06:58,796 INFO Experiment.PerfCost-3e8c: Processed 1560 samples out of 10000, 0 errors
23:07:09,129 INFO Experiment.PerfCost-3e8c: Processed 1570 samples out of 10000, 0 errors
23:07:19,470 INFO Experiment.PerfCost-3e8c: Processed 1580 samples out of 10000, 0 errors
23:07:29,794 INFO Experiment.PerfCost-3e8c: Processed 1590 samples out of 10000, 0 errors
23:07:40,124 INFO Experiment.PerfCost-3e8c: Processed 1600 samples out of 10000, 0 errors
23:07:50,460 INFO Experiment.PerfCost-3e8c: Processed 1610 samples out of 10000, 0 errors
23:08:00,814 INFO Experiment.PerfCost-3e8c: Processed 1620 samples out of 10000, 0 errors
23:08:11,191 INFO Experiment.PerfCost-3e8c: Processed 1630 samples out of 10000, 0 errors
23:08:21,529 INFO Experiment.PerfCost-3e8c: Processed 1640 samples out of 10000, 0 errors
23:08:31,854 INFO Experiment.PerfCost-3e8c: Processed 1650 samples out of 10000, 0 errors
23:08:42,201 INFO Experiment.PerfCost-3e8c: Processed 1660 samples out of 10000, 0 errors
23:08:52,553 INFO Experiment.PerfCost-3e8c: Processed 1670 samples out of 10000, 0 errors
23:09:02,870 INFO Experiment.PerfCost-3e8c: Processed 1680 samples out of 10000, 0 errors
23:09:13,195 INFO Experiment.PerfCost-3e8c: Processed 1690 samples out of 10000, 0 errors
23:09:23,524 INFO Experiment.PerfCost-3e8c: Processed 1700 samples out of 10000, 0 errors
23:09:33,842 INFO Experiment.PerfCost-3e8c: Processed 1710 samples out of 10000, 0 errors
23:09:44,155 INFO Experiment.PerfCost-3e8c: Processed 1720 samples out of 10000, 0 errors
23:09:54,477 INFO Experiment.PerfCost-3e8c: Processed 1730 samples out of 10000, 0 errors
23:10:04,847 INFO Experiment.PerfCost-3e8c: Processed 1740 samples out of 10000, 0 errors
23:10:15,177 INFO Experiment.PerfCost-3e8c: Processed 1750 samples out of 10000, 0 errors
23:10:25,497 INFO Experiment.PerfCost-3e8c: Processed 1760 samples out of 10000, 0 errors
23:10:35,832 INFO Experiment.PerfCost-3e8c: Processed 1770 samples out of 10000, 0 errors
23:10:46,159 INFO Experiment.PerfCost-3e8c: Processed 1780 samples out of 10000, 0 errors
23:10:56,514 INFO Experiment.PerfCost-3e8c: Processed 1790 samples out of 10000, 0 errors
23:11:06,832 INFO Experiment.PerfCost-3e8c: Processed 1800 samples out of 10000, 0 errors
23:11:17,145 INFO Experiment.PerfCost-3e8c: Processed 1810 samples out of 10000, 0 errors
23:11:27,467 INFO Experiment.PerfCost-3e8c: Processed 1820 samples out of 10000, 0 errors
23:11:37,792 INFO Experiment.PerfCost-3e8c: Processed 1830 samples out of 10000, 0 errors
23:11:48,122 INFO Experiment.PerfCost-3e8c: Processed 1840 samples out of 10000, 0 errors
23:11:58,460 INFO Experiment.PerfCost-3e8c: Processed 1850 samples out of 10000, 0 errors
