language,configuration,endpoint,container_id,host,targetRPS,CPU,experiment_id
python,elastic,updates,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,79.18265124211035,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,otel,json,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,2225,83.31662284045647,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,elastic,updates,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,200,102.7753565411368,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,standard,db,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1900,76.53395995669244,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,elastic,json,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,2650,75.74821681753235,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,elastic,queries,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,350,101.44063809928893,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,elastic,queries,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,25,84.22235667020567,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,otel,queries,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,350,99.26202274645487,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,standard,updates,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1200,75.80345416787416,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,otel,queries,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,50,97.48320451689399,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,standard,updates,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,175,79.28437300724181,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,standard,queries,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,200,100.22848888931863,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,standard,db,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,250,102.10729269183149,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,otel,db,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,300,103.19388505842761,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,standard,db,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,200,82.02278712569556,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
