22:39:25,509 INFO SeBS-4c50: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/640.video-processing-otel
22:39:25,857 INFO OpenWhisk.Resources-8467: Using user-provided configuration of storage for OpenWhisk.
22:39:25,858 INFO OpenWhisk-79fb: Using existing resource name: 8504288e.
22:39:25,862 INFO Benchmark-689a: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
23:02:53,178 INFO Experiment.PerfCost-3361: Processed 1070 samples out of 10000, 0 errors
23:03:05,840 INFO Experiment.PerfCost-3361: Processed 1080 samples out of 10000, 0 errors
23:03:18,655 INFO Experiment.PerfCost-3361: Processed 1090 samples out of 10000, 0 errors
23:03:31,484 INFO Experiment.PerfCost-3361: Processed 1100 samples out of 10000, 0 errors
23:03:44,355 INFO Experiment.PerfCost-3361: Processed 1110 samples out of 10000, 0 errors
23:03:57,299 INFO Experiment.PerfCost-3361: Processed 1120 samples out of 10000, 0 errors
23:04:10,271 INFO Experiment.PerfCost-3361: Processed 1130 samples out of 10000, 0 errors
23:04:23,229 INFO Experiment.PerfCost-3361: Processed 1140 samples out of 10000, 0 errors
23:04:36,57 INFO Experiment.PerfCost-3361: Processed 1150 samples out of 10000, 0 errors
23:04:48,744 INFO Experiment.PerfCost-3361: Processed 1160 samples out of 10000, 0 errors
23:05:01,509 INFO Experiment.PerfCost-3361: Processed 1170 samples out of 10000, 0 errors
23:05:14,433 INFO Experiment.PerfCost-3361: Processed 1180 samples out of 10000, 0 errors
23:05:27,206 INFO Experiment.PerfCost-3361: Processed 1190 samples out of 10000, 0 errors
23:05:39,963 INFO Experiment.PerfCost-3361: Processed 1200 samples out of 10000, 0 errors
23:05:52,817 INFO Experiment.PerfCost-3361: Processed 1210 samples out of 10000, 0 errors
23:06:05,653 INFO Experiment.PerfCost-3361: Processed 1220 samples out of 10000, 0 errors
23:06:18,389 INFO Experiment.PerfCost-3361: Processed 1230 samples out of 10000, 0 errors
23:06:31,139 INFO Experiment.PerfCost-3361: Processed 1240 samples out of 10000, 0 errors
23:06:44,110 INFO Experiment.PerfCost-3361: Processed 1250 samples out of 10000, 0 errors
23:06:56,940 INFO Experiment.PerfCost-3361: Processed 1260 samples out of 10000, 0 errors
23:07:09,603 INFO Experiment.PerfCost-3361: Processed 1270 samples out of 10000, 0 errors
23:07:22,553 INFO Experiment.PerfCost-3361: Processed 1280 samples out of 10000, 0 errors
23:07:35,499 INFO Experiment.PerfCost-3361: Processed 1290 samples out of 10000, 0 errors
23:07:48,571 INFO Experiment.PerfCost-3361: Processed 1300 samples out of 10000, 0 errors
23:08:01,458 INFO Experiment.PerfCost-3361: Processed 1310 samples out of 10000, 0 errors
23:08:14,490 INFO Experiment.PerfCost-3361: Processed 1320 samples out of 10000, 0 errors
23:08:27,418 INFO Experiment.PerfCost-3361: Processed 1330 samples out of 10000, 0 errors
23:08:40,320 INFO Experiment.PerfCost-3361: Processed 1340 samples out of 10000, 0 errors
23:08:53,398 INFO Experiment.PerfCost-3361: Processed 1350 samples out of 10000, 0 errors
23:09:06,250 INFO Experiment.PerfCost-3361: Processed 1360 samples out of 10000, 0 errors
23:09:19,45 INFO Experiment.PerfCost-3361: Processed 1370 samples out of 10000, 0 errors
23:09:32,10 INFO Experiment.PerfCost-3361: Processed 1380 samples out of 10000, 0 errors
23:09:44,928 INFO Experiment.PerfCost-3361: Processed 1390 samples out of 10000, 0 errors
23:09:57,655 INFO Experiment.PerfCost-3361: Processed 1400 samples out of 10000, 0 errors
23:10:10,479 INFO Experiment.PerfCost-3361: Processed 1410 samples out of 10000, 0 errors
23:10:23,346 INFO Experiment.PerfCost-3361: Processed 1420 samples out of 10000, 0 errors
23:10:36,340 INFO Experiment.PerfCost-3361: Processed 1430 samples out of 10000, 0 errors
23:10:49,104 INFO Experiment.PerfCost-3361: Processed 1440 samples out of 10000, 0 errors
23:11:01,991 INFO Experiment.PerfCost-3361: Processed 1450 samples out of 10000, 0 errors
23:11:14,668 INFO Experiment.PerfCost-3361: Processed 1460 samples out of 10000, 0 errors
23:11:27,660 INFO Experiment.PerfCost-3361: Processed 1470 samples out of 10000, 0 errors
23:11:40,630 INFO Experiment.PerfCost-3361: Processed 1480 samples out of 10000, 0 errors
23:11:53,603 INFO Experiment.PerfCost-3361: Processed 1490 samples out of 10000, 0 errors
23:12:06,485 INFO Experiment.PerfCost-3361: Processed 1500 samples out of 10000, 0 errors
23:12:19,251 INFO Experiment.PerfCost-3361: Processed 1510 samples out of 10000, 0 errors
23:12:32,226 INFO Experiment.PerfCost-3361: Processed 1520 samples out of 10000, 0 errors
23:12:45,245 INFO Experiment.PerfCost-3361: Processed 1530 samples out of 10000, 0 errors
23:12:58,154 INFO Experiment.PerfCost-3361: Processed 1540 samples out of 10000, 0 errors
23:13:11,158 INFO Experiment.PerfCost-3361: Processed 1550 samples out of 10000, 0 errors
23:13:23,800 INFO Experiment.PerfCost-3361: Processed 1560 samples out of 10000, 0 errors
23:13:36,810 INFO Experiment.PerfCost-3361: Processed 1570 samples out of 10000, 0 errors
23:13:49,669 INFO Experiment.PerfCost-3361: Processed 1580 samples out of 10000, 0 errors
23:14:02,706 INFO Experiment.PerfCost-3361: Processed 1590 samples out of 10000, 0 errors
23:14:15,549 INFO Experiment.PerfCost-3361: Processed 1600 samples out of 10000, 0 errors
