00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
01:11:11,154 INFO Experiment.PerfCost-bfba: Processed 980 samples out of 10000, 0 errors
01:11:23,525 INFO Experiment.PerfCost-bfba: Processed 990 samples out of 10000, 0 errors
01:11:35,880 INFO Experiment.PerfCost-bfba: Processed 1000 samples out of 10000, 0 errors
01:11:48,177 INFO Experiment.PerfCost-bfba: Processed 1010 samples out of 10000, 0 errors
01:12:00,651 INFO Experiment.PerfCost-bfba: Processed 1020 samples out of 10000, 0 errors
01:12:12,967 INFO Experiment.PerfCost-bfba: Processed 1030 samples out of 10000, 0 errors
01:12:25,491 INFO Experiment.PerfCost-bfba: Processed 1040 samples out of 10000, 0 errors
01:12:37,800 INFO Experiment.PerfCost-bfba: Processed 1050 samples out of 10000, 0 errors
01:12:50,139 INFO Experiment.PerfCost-bfba: Processed 1060 samples out of 10000, 0 errors
01:13:02,606 INFO Experiment.PerfCost-bfba: Processed 1070 samples out of 10000, 0 errors
01:13:15,70 INFO Experiment.PerfCost-bfba: Processed 1080 samples out of 10000, 0 errors
01:13:27,514 INFO Experiment.PerfCost-bfba: Processed 1090 samples out of 10000, 0 errors
01:13:39,840 INFO Experiment.PerfCost-bfba: Processed 1100 samples out of 10000, 0 errors
01:13:52,275 INFO Experiment.PerfCost-bfba: Processed 1110 samples out of 10000, 0 errors
01:14:04,654 INFO Experiment.PerfCost-bfba: Processed 1120 samples out of 10000, 0 errors
01:14:17,60 INFO Experiment.PerfCost-bfba: Processed 1130 samples out of 10000, 0 errors
01:14:29,490 INFO Experiment.PerfCost-bfba: Processed 1140 samples out of 10000, 0 errors
01:14:41,859 INFO Experiment.PerfCost-bfba: Processed 1150 samples out of 10000, 0 errors
01:14:54,306 INFO Experiment.PerfCost-bfba: Processed 1160 samples out of 10000, 0 errors
01:15:06,750 INFO Experiment.PerfCost-bfba: Processed 1170 samples out of 10000, 0 errors
01:15:19,150 INFO Experiment.PerfCost-bfba: Processed 1180 samples out of 10000, 0 errors
01:15:31,692 INFO Experiment.PerfCost-bfba: Processed 1190 samples out of 10000, 0 errors
01:15:44,106 INFO Experiment.PerfCost-bfba: Processed 1200 samples out of 10000, 0 errors
01:15:56,401 INFO Experiment.PerfCost-bfba: Processed 1210 samples out of 10000, 0 errors
01:16:08,818 INFO Experiment.PerfCost-bfba: Processed 1220 samples out of 10000, 0 errors
01:16:21,267 INFO Experiment.PerfCost-bfba: Processed 1230 samples out of 10000, 0 errors
01:16:33,713 INFO Experiment.PerfCost-bfba: Processed 1240 samples out of 10000, 0 errors
01:16:46,154 INFO Experiment.PerfCost-bfba: Processed 1250 samples out of 10000, 0 errors
01:16:58,483 INFO Experiment.PerfCost-bfba: Processed 1260 samples out of 10000, 0 errors
01:17:10,986 INFO Experiment.PerfCost-bfba: Processed 1270 samples out of 10000, 0 errors
01:17:23,401 INFO Experiment.PerfCost-bfba: Processed 1280 samples out of 10000, 0 errors
01:17:35,820 INFO Experiment.PerfCost-bfba: Processed 1290 samples out of 10000, 0 errors
01:17:48,249 INFO Experiment.PerfCost-bfba: Processed 1300 samples out of 10000, 0 errors
01:18:00,748 INFO Experiment.PerfCost-bfba: Processed 1310 samples out of 10000, 0 errors
01:18:13,192 INFO Experiment.PerfCost-bfba: Processed 1320 samples out of 10000, 0 errors
01:18:25,568 INFO Experiment.PerfCost-bfba: Processed 1330 samples out of 10000, 0 errors
01:18:37,921 INFO Experiment.PerfCost-bfba: Processed 1340 samples out of 10000, 0 errors
01:18:50,336 INFO Experiment.PerfCost-bfba: Processed 1350 samples out of 10000, 0 errors
01:19:02,785 INFO Experiment.PerfCost-bfba: Processed 1360 samples out of 10000, 0 errors
01:19:15,181 INFO Experiment.PerfCost-bfba: Processed 1370 samples out of 10000, 0 errors
01:19:27,534 INFO Experiment.PerfCost-bfba: Processed 1380 samples out of 10000, 0 errors
01:19:39,882 INFO Experiment.PerfCost-bfba: Processed 1390 samples out of 10000, 0 errors
01:19:52,442 INFO Experiment.PerfCost-bfba: Processed 1400 samples out of 10000, 0 errors
01:20:04,881 INFO Experiment.PerfCost-bfba: Processed 1410 samples out of 10000, 0 errors
