23:47:14,226 INFO SeBS-91bf: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/on/instrumented/660.graph-pagerank
23:47:14,557 INFO OpenWhisk.Resources-6a2f: Using user-provided configuration of storage for OpenWhisk.
23:47:14,557 INFO OpenWhisk-4879: Using existing resource name: 8504288e.
23:47:14,561 INFO Benchmark-d60f: Building benchmark 660.graph-pagerank. Reason: no cached code package.
00:20:45,55 INFO Experiment.PerfCost-7e17: Processed 1950 samples out of 10000, 0 errors
00:20:55,169 INFO Experiment.PerfCost-7e17: Processed 1960 samples out of 10000, 0 errors
00:21:05,265 INFO Experiment.PerfCost-7e17: Processed 1970 samples out of 10000, 0 errors
00:21:15,409 INFO Experiment.PerfCost-7e17: Processed 1980 samples out of 10000, 0 errors
00:21:25,523 INFO Experiment.PerfCost-7e17: Processed 1990 samples out of 10000, 0 errors
00:21:35,637 INFO Experiment.PerfCost-7e17: Processed 2000 samples out of 10000, 0 errors
00:21:45,782 INFO Experiment.PerfCost-7e17: Processed 2010 samples out of 10000, 0 errors
00:21:55,882 INFO Experiment.PerfCost-7e17: Processed 2020 samples out of 10000, 0 errors
00:22:06,28 INFO Experiment.PerfCost-7e17: Processed 2030 samples out of 10000, 0 errors
00:22:16,175 INFO Experiment.PerfCost-7e17: Processed 2040 samples out of 10000, 0 errors
00:22:26,277 INFO Experiment.PerfCost-7e17: Processed 2050 samples out of 10000, 0 errors
00:22:36,406 INFO Experiment.PerfCost-7e17: Processed 2060 samples out of 10000, 0 errors
00:22:46,553 INFO Experiment.PerfCost-7e17: Processed 2070 samples out of 10000, 0 errors
00:22:56,671 INFO Experiment.PerfCost-7e17: Processed 2080 samples out of 10000, 0 errors
00:23:06,784 INFO Experiment.PerfCost-7e17: Processed 2090 samples out of 10000, 0 errors
00:23:16,896 INFO Experiment.PerfCost-7e17: Processed 2100 samples out of 10000, 0 errors
00:23:27,0 INFO Experiment.PerfCost-7e17: Processed 2110 samples out of 10000, 0 errors
00:23:37,139 INFO Experiment.PerfCost-7e17: Processed 2120 samples out of 10000, 0 errors
00:23:47,252 INFO Experiment.PerfCost-7e17: Processed 2130 samples out of 10000, 0 errors
00:23:57,387 INFO Experiment.PerfCost-7e17: Processed 2140 samples out of 10000, 0 errors
00:24:07,484 INFO Experiment.PerfCost-7e17: Processed 2150 samples out of 10000, 0 errors
00:24:17,633 INFO Experiment.PerfCost-7e17: Processed 2160 samples out of 10000, 0 errors
00:24:27,735 INFO Experiment.PerfCost-7e17: Processed 2170 samples out of 10000, 0 errors
00:24:37,873 INFO Experiment.PerfCost-7e17: Processed 2180 samples out of 10000, 0 errors
