02:14:56,528 INFO SeBS-ac33: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/660.graph-pagerank
02:14:56,873 INFO OpenWhisk.Resources-6ab7: Using user-provided configuration of storage for OpenWhisk.
02:14:56,873 INFO OpenWhisk-dcbe: Using existing resource name: 8504288e.
02:14:56,877 INFO Benchmark-b382: Building benchmark 660.graph-pagerank. Reason: no cached code package.
02:41:55,970 INFO Experiment.PerfCost-b181: Processed 1590 samples out of 10000, 0 errors
02:42:06,78 INFO Experiment.PerfCost-b181: Processed 1600 samples out of 10000, 0 errors
02:42:16,175 INFO Experiment.PerfCost-b181: Processed 1610 samples out of 10000, 0 errors
02:42:26,271 INFO Experiment.PerfCost-b181: Processed 1620 samples out of 10000, 0 errors
02:42:36,378 INFO Experiment.PerfCost-b181: Processed 1630 samples out of 10000, 0 errors
02:42:46,478 INFO Experiment.PerfCost-b181: Processed 1640 samples out of 10000, 0 errors
02:42:56,607 INFO Experiment.PerfCost-b181: Processed 1650 samples out of 10000, 0 errors
02:43:06,723 INFO Experiment.PerfCost-b181: Processed 1660 samples out of 10000, 0 errors
02:43:16,819 INFO Experiment.PerfCost-b181: Processed 1670 samples out of 10000, 0 errors
02:43:26,922 INFO Experiment.PerfCost-b181: Processed 1680 samples out of 10000, 0 errors
02:43:37,21 INFO Experiment.PerfCost-b181: Processed 1690 samples out of 10000, 0 errors
02:43:47,128 INFO Experiment.PerfCost-b181: Processed 1700 samples out of 10000, 0 errors
02:43:57,229 INFO Experiment.PerfCost-b181: Processed 1710 samples out of 10000, 0 errors
02:44:07,325 INFO Experiment.PerfCost-b181: Processed 1720 samples out of 10000, 0 errors
02:44:17,430 INFO Experiment.PerfCost-b181: Processed 1730 samples out of 10000, 0 errors
02:44:27,552 INFO Experiment.PerfCost-b181: Processed 1740 samples out of 10000, 0 errors
02:44:37,656 INFO Experiment.PerfCost-b181: Processed 1750 samples out of 10000, 0 errors
02:44:47,748 INFO Experiment.PerfCost-b181: Processed 1760 samples out of 10000, 0 errors
02:44:57,849 INFO Experiment.PerfCost-b181: Processed 1770 samples out of 10000, 0 errors
02:45:07,965 INFO Experiment.PerfCost-b181: Processed 1780 samples out of 10000, 0 errors
02:45:18,76 INFO Experiment.PerfCost-b181: Processed 1790 samples out of 10000, 0 errors
02:45:28,171 INFO Experiment.PerfCost-b181: Processed 1800 samples out of 10000, 0 errors
02:45:38,282 INFO Experiment.PerfCost-b181: Processed 1810 samples out of 10000, 0 errors
02:45:48,374 INFO Experiment.PerfCost-b181: Processed 1820 samples out of 10000, 0 errors
02:45:58,484 INFO Experiment.PerfCost-b181: Processed 1830 samples out of 10000, 0 errors
02:46:08,593 INFO Experiment.PerfCost-b181: Processed 1840 samples out of 10000, 0 errors
02:46:18,711 INFO Experiment.PerfCost-b181: Processed 1850 samples out of 10000, 0 errors
02:46:28,801 INFO Experiment.PerfCost-b181: Processed 1860 samples out of 10000, 0 errors
02:46:38,922 INFO Experiment.PerfCost-b181: Processed 1870 samples out of 10000, 0 errors
02:46:49,26 INFO Experiment.PerfCost-b181: Processed 1880 samples out of 10000, 0 errors
02:46:59,137 INFO Experiment.PerfCost-b181: Processed 1890 samples out of 10000, 0 errors
02:47:09,250 INFO Experiment.PerfCost-b181: Processed 1900 samples out of 10000, 0 errors
02:47:19,350 INFO Experiment.PerfCost-b181: Processed 1910 samples out of 10000, 0 errors
02:47:29,456 INFO Experiment.PerfCost-b181: Processed 1920 samples out of 10000, 0 errors
02:47:39,553 INFO Experiment.PerfCost-b181: Processed 1930 samples out of 10000, 0 errors
02:47:49,660 INFO Experiment.PerfCost-b181: Processed 1940 samples out of 10000, 0 errors
02:47:59,797 INFO Experiment.PerfCost-b181: Processed 1950 samples out of 10000, 0 errors
