09:38:56,591 INFO SeBS-5b25: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/650.compression-otel
09:38:56,909 INFO OpenWhisk.Resources-b432: Using user-provided configuration of storage for OpenWhisk.
10:05:01,445 INFO Experiment.PerfCost-5d88: Processed 1300 samples out of 10000, 0 errors
10:05:13,387 INFO Experiment.PerfCost-5d88: Processed 1310 samples out of 10000, 0 errors
10:05:25,289 INFO Experiment.PerfCost-5d88: Processed 1320 samples out of 10000, 0 errors
10:05:37,230 INFO Experiment.PerfCost-5d88: Processed 1330 samples out of 10000, 0 errors
10:05:50,810 INFO Experiment.PerfCost-5d88: Invocation 2c796adcfa7f4801b96adcfa7f4801cc is cold!
10:05:50,811 INFO Experiment.PerfCost-5d88: Processed 1339 samples out of 10000, 0 errors
10:06:02,717 INFO Experiment.PerfCost-5d88: Processed 1349 samples out of 10000, 0 errors
10:06:14,651 INFO Experiment.PerfCost-5d88: Processed 1359 samples out of 10000, 0 errors
10:06:26,607 INFO Experiment.PerfCost-5d88: Processed 1369 samples out of 10000, 0 errors
10:06:40,208 INFO Experiment.PerfCost-5d88: Invocation 3447746b097e45f887746b097e35f8e8 is cold!
10:06:40,209 INFO Experiment.PerfCost-5d88: Processed 1378 samples out of 10000, 0 errors
10:06:52,132 INFO Experiment.PerfCost-5d88: Processed 1388 samples out of 10000, 0 errors
10:07:04,106 INFO Experiment.PerfCost-5d88: Processed 1398 samples out of 10000, 0 errors
10:07:16,14 INFO Experiment.PerfCost-5d88: Processed 1408 samples out of 10000, 0 errors
10:07:27,975 INFO Experiment.PerfCost-5d88: Processed 1418 samples out of 10000, 0 errors
10:07:39,963 INFO Experiment.PerfCost-5d88: Processed 1428 samples out of 10000, 0 errors
10:07:51,954 INFO Experiment.PerfCost-5d88: Processed 1438 samples out of 10000, 0 errors
10:08:03,892 INFO Experiment.PerfCost-5d88: Processed 1448 samples out of 10000, 0 errors
10:08:15,938 INFO Experiment.PerfCost-5d88: Processed 1458 samples out of 10000, 0 errors
10:08:27,929 INFO Experiment.PerfCost-5d88: Processed 1468 samples out of 10000, 0 errors
10:08:39,861 INFO Experiment.PerfCost-5d88: Processed 1478 samples out of 10000, 0 errors
10:08:51,813 INFO Experiment.PerfCost-5d88: Processed 1488 samples out of 10000, 0 errors
10:09:03,814 INFO Experiment.PerfCost-5d88: Processed 1498 samples out of 10000, 0 errors
10:09:15,806 INFO Experiment.PerfCost-5d88: Processed 1508 samples out of 10000, 0 errors
10:09:27,780 INFO Experiment.PerfCost-5d88: Processed 1518 samples out of 10000, 0 errors
10:09:39,776 INFO Experiment.PerfCost-5d88: Processed 1528 samples out of 10000, 0 errors
10:09:51,706 INFO Experiment.PerfCost-5d88: Processed 1538 samples out of 10000, 0 errors
10:10:03,670 INFO Experiment.PerfCost-5d88: Processed 1548 samples out of 10000, 0 errors
10:10:15,648 INFO Experiment.PerfCost-5d88: Processed 1558 samples out of 10000, 0 errors
10:10:27,631 INFO Experiment.PerfCost-5d88: Processed 1568 samples out of 10000, 0 errors
10:10:39,614 INFO Experiment.PerfCost-5d88: Processed 1578 samples out of 10000, 0 errors
10:10:51,568 INFO Experiment.PerfCost-5d88: Processed 1588 samples out of 10000, 0 errors
10:11:03,543 INFO Experiment.PerfCost-5d88: Processed 1598 samples out of 10000, 0 errors
10:11:15,550 INFO Experiment.PerfCost-5d88: Processed 1608 samples out of 10000, 0 errors
10:11:27,540 INFO Experiment.PerfCost-5d88: Processed 1618 samples out of 10000, 0 errors
10:11:39,531 INFO Experiment.PerfCost-5d88: Processed 1628 samples out of 10000, 0 errors
10:11:51,510 INFO Experiment.PerfCost-5d88: Processed 1638 samples out of 10000, 0 errors
10:12:03,493 INFO Experiment.PerfCost-5d88: Processed 1648 samples out of 10000, 0 errors
10:12:15,503 INFO Experiment.PerfCost-5d88: Processed 1658 samples out of 10000, 0 errors
10:12:27,444 INFO Experiment.PerfCost-5d88: Processed 1668 samples out of 10000, 0 errors
10:12:39,412 INFO Experiment.PerfCost-5d88: Processed 1678 samples out of 10000, 0 errors
10:12:51,371 INFO Experiment.PerfCost-5d88: Processed 1688 samples out of 10000, 0 errors
10:13:03,328 INFO Experiment.PerfCost-5d88: Processed 1698 samples out of 10000, 0 errors
10:13:15,262 INFO Experiment.PerfCost-5d88: Processed 1708 samples out of 10000, 0 errors
10:13:27,202 INFO Experiment.PerfCost-5d88: Processed 1718 samples out of 10000, 0 errors
10:13:39,180 INFO Experiment.PerfCost-5d88: Processed 1728 samples out of 10000, 0 errors
10:13:51,105 INFO Experiment.PerfCost-5d88: Processed 1738 samples out of 10000, 0 errors
10:14:03,35 INFO Experiment.PerfCost-5d88: Processed 1748 samples out of 10000, 0 errors
10:14:15,33 INFO Experiment.PerfCost-5d88: Processed 1758 samples out of 10000, 0 errors
10:14:26,948 INFO Experiment.PerfCost-5d88: Processed 1768 samples out of 10000, 0 errors
10:14:38,930 INFO Experiment.PerfCost-5d88: Processed 1778 samples out of 10000, 0 errors
10:14:50,900 INFO Experiment.PerfCost-5d88: Processed 1788 samples out of 10000, 0 errors
10:15:02,860 INFO Experiment.PerfCost-5d88: Processed 1798 samples out of 10000, 0 errors
10:15:14,829 INFO Experiment.PerfCost-5d88: Processed 1808 samples out of 10000, 0 errors
10:15:26,786 INFO Experiment.PerfCost-5d88: Processed 1818 samples out of 10000, 0 errors
10:15:38,750 INFO Experiment.PerfCost-5d88: Processed 1828 samples out of 10000, 0 errors
10:15:50,735 INFO Experiment.PerfCost-5d88: Processed 1838 samples out of 10000, 0 errors
10:16:02,660 INFO Experiment.PerfCost-5d88: Processed 1848 samples out of 10000, 0 errors
10:16:14,624 INFO Experiment.PerfCost-5d88: Processed 1858 samples out of 10000, 0 errors
10:16:26,578 INFO Experiment.PerfCost-5d88: Processed 1868 samples out of 10000, 0 errors
