16:44:01,776 INFO Experiment.PerfCost-5cc9: Processed 1420 samples out of 10000, 0 errors
16:44:11,892 INFO Experiment.PerfCost-5cc9: Processed 1430 samples out of 10000, 0 errors
16:44:21,985 INFO Experiment.PerfCost-5cc9: Processed 1440 samples out of 10000, 0 errors
16:44:32,65 INFO Experiment.PerfCost-5cc9: Processed 1450 samples out of 10000, 0 errors
16:44:42,140 INFO Experiment.PerfCost-5cc9: Processed 1460 samples out of 10000, 0 errors
16:44:52,215 INFO Experiment.PerfCost-5cc9: Processed 1470 samples out of 10000, 0 errors
16:45:02,292 INFO Experiment.PerfCost-5cc9: Processed 1480 samples out of 10000, 0 errors
16:45:12,373 INFO Experiment.PerfCost-5cc9: Processed 1490 samples out of 10000, 0 errors
16:45:22,479 INFO Experiment.PerfCost-5cc9: Processed 1500 samples out of 10000, 0 errors
16:45:32,553 INFO Experiment.PerfCost-5cc9: Processed 1510 samples out of 10000, 0 errors
16:45:42,625 INFO Experiment.PerfCost-5cc9: Processed 1520 samples out of 10000, 0 errors
16:45:52,696 INFO Experiment.PerfCost-5cc9: Processed 1530 samples out of 10000, 0 errors
16:46:02,772 INFO Experiment.PerfCost-5cc9: Processed 1540 samples out of 10000, 0 errors
16:46:12,877 INFO Experiment.PerfCost-5cc9: Processed 1550 samples out of 10000, 0 errors
16:46:22,958 INFO Experiment.PerfCost-5cc9: Processed 1560 samples out of 10000, 0 errors
16:46:33,38 INFO Experiment.PerfCost-5cc9: Processed 1570 samples out of 10000, 0 errors
16:46:43,132 INFO Experiment.PerfCost-5cc9: Processed 1580 samples out of 10000, 0 errors
16:46:53,202 INFO Experiment.PerfCost-5cc9: Processed 1590 samples out of 10000, 0 errors
16:47:03,277 INFO Experiment.PerfCost-5cc9: Processed 1600 samples out of 10000, 0 errors
16:47:13,351 INFO Experiment.PerfCost-5cc9: Processed 1610 samples out of 10000, 0 errors
16:47:23,438 INFO Experiment.PerfCost-5cc9: Processed 1620 samples out of 10000, 0 errors
16:47:33,516 INFO Experiment.PerfCost-5cc9: Processed 1630 samples out of 10000, 0 errors
16:47:43,588 INFO Experiment.PerfCost-5cc9: Processed 1640 samples out of 10000, 0 errors
16:47:53,665 INFO Experiment.PerfCost-5cc9: Processed 1650 samples out of 10000, 0 errors
16:48:03,753 INFO Experiment.PerfCost-5cc9: Processed 1660 samples out of 10000, 0 errors
16:48:13,829 INFO Experiment.PerfCost-5cc9: Processed 1670 samples out of 10000, 0 errors
16:48:23,906 INFO Experiment.PerfCost-5cc9: Processed 1680 samples out of 10000, 0 errors
16:48:33,980 INFO Experiment.PerfCost-5cc9: Processed 1690 samples out of 10000, 0 errors
16:48:44,63 INFO Experiment.PerfCost-5cc9: Processed 1700 samples out of 10000, 0 errors
16:48:54,139 INFO Experiment.PerfCost-5cc9: Processed 1710 samples out of 10000, 0 errors
16:49:04,217 INFO Experiment.PerfCost-5cc9: Processed 1720 samples out of 10000, 0 errors
16:49:14,294 INFO Experiment.PerfCost-5cc9: Processed 1730 samples out of 10000, 0 errors
16:49:24,374 INFO Experiment.PerfCost-5cc9: Processed 1740 samples out of 10000, 0 errors
16:49:34,449 INFO Experiment.PerfCost-5cc9: Processed 1750 samples out of 10000, 0 errors
16:49:44,521 INFO Experiment.PerfCost-5cc9: Processed 1760 samples out of 10000, 0 errors
16:49:54,593 INFO Experiment.PerfCost-5cc9: Processed 1770 samples out of 10000, 0 errors
16:50:04,673 INFO Experiment.PerfCost-5cc9: Processed 1780 samples out of 10000, 0 errors
16:50:14,753 INFO Experiment.PerfCost-5cc9: Processed 1790 samples out of 10000, 0 errors
16:50:24,855 INFO Experiment.PerfCost-5cc9: Processed 1800 samples out of 10000, 0 errors
16:50:34,940 INFO Experiment.PerfCost-5cc9: Processed 1810 samples out of 10000, 0 errors
16:50:45,17 INFO Experiment.PerfCost-5cc9: Processed 1820 samples out of 10000, 0 errors
16:50:55,98 INFO Experiment.PerfCost-5cc9: Processed 1830 samples out of 10000, 0 errors
16:51:05,181 INFO Experiment.PerfCost-5cc9: Processed 1840 samples out of 10000, 0 errors
16:51:15,255 INFO Experiment.PerfCost-5cc9: Processed 1850 samples out of 10000, 0 errors
16:51:25,326 INFO Experiment.PerfCost-5cc9: Processed 1860 samples out of 10000, 0 errors
16:51:35,395 INFO Experiment.PerfCost-5cc9: Processed 1870 samples out of 10000, 0 errors
16:51:45,482 INFO Experiment.PerfCost-5cc9: Processed 1880 samples out of 10000, 0 errors
16:51:55,566 INFO Experiment.PerfCost-5cc9: Processed 1890 samples out of 10000, 0 errors
16:52:05,631 INFO Experiment.PerfCost-5cc9: Processed 1900 samples out of 10000, 0 errors
16:52:15,704 INFO Experiment.PerfCost-5cc9: Processed 1910 samples out of 10000, 0 errors
16:52:25,791 INFO Experiment.PerfCost-5cc9: Processed 1920 samples out of 10000, 0 errors
16:52:35,866 INFO Experiment.PerfCost-5cc9: Processed 1930 samples out of 10000, 0 errors
16:52:45,935 INFO Experiment.PerfCost-5cc9: Processed 1940 samples out of 10000, 0 errors
16:52:56,11 INFO Experiment.PerfCost-5cc9: Processed 1950 samples out of 10000, 0 errors
16:53:06,107 INFO Experiment.PerfCost-5cc9: Processed 1960 samples out of 10000, 0 errors
16:53:16,187 INFO Experiment.PerfCost-5cc9: Processed 1970 samples out of 10000, 0 errors
16:53:26,302 INFO Experiment.PerfCost-5cc9: Processed 1980 samples out of 10000, 0 errors
16:53:36,376 INFO Experiment.PerfCost-5cc9: Processed 1990 samples out of 10000, 0 errors
16:53:46,454 INFO Experiment.PerfCost-5cc9: Processed 2000 samples out of 10000, 0 errors
16:53:56,524 INFO Experiment.PerfCost-5cc9: Processed 2010 samples out of 10000, 0 errors
16:54:06,605 INFO Experiment.PerfCost-5cc9: Processed 2020 samples out of 10000, 0 errors
16:54:16,681 INFO Experiment.PerfCost-5cc9: Processed 2030 samples out of 10000, 0 errors
16:54:26,759 INFO Experiment.PerfCost-5cc9: Processed 2040 samples out of 10000, 0 errors
16:54:36,856 INFO Experiment.PerfCost-5cc9: Processed 2050 samples out of 10000, 0 errors
16:54:46,927 INFO Experiment.PerfCost-5cc9: Processed 2060 samples out of 10000, 0 errors
16:54:57,17 INFO Experiment.PerfCost-5cc9: Processed 2070 samples out of 10000, 0 errors
16:55:07,92 INFO Experiment.PerfCost-5cc9: Processed 2080 samples out of 10000, 0 errors
16:55:17,162 INFO Experiment.PerfCost-5cc9: Processed 2090 samples out of 10000, 0 errors
16:55:27,259 INFO Experiment.PerfCost-5cc9: Processed 2100 samples out of 10000, 0 errors
16:55:37,340 INFO Experiment.PerfCost-5cc9: Processed 2110 samples out of 10000, 0 errors
16:55:47,422 INFO Experiment.PerfCost-5cc9: Processed 2120 samples out of 10000, 0 errors
