14:00:01,978 INFO SeBS-6439: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/610.dynamic-html-otel
14:00:02,334 INFO OpenWhisk.Resources-d58d: Using user-provided configuration of storage for OpenWhisk.
14:00:02,334 INFO OpenWhisk-745f: Using existing resource name: 8504288e.
14:00:02,338 INFO Benchmark-3be0: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
14:24:16,85 INFO Experiment.PerfCost-4ea6: Processed 1420 samples out of 10000, 0 errors
14:24:26,196 INFO Experiment.PerfCost-4ea6: Processed 1430 samples out of 10000, 0 errors
14:24:36,314 INFO Experiment.PerfCost-4ea6: Processed 1440 samples out of 10000, 0 errors
14:24:46,439 INFO Experiment.PerfCost-4ea6: Processed 1450 samples out of 10000, 0 errors
14:24:56,555 INFO Experiment.PerfCost-4ea6: Processed 1460 samples out of 10000, 0 errors
14:25:06,671 INFO Experiment.PerfCost-4ea6: Processed 1470 samples out of 10000, 0 errors
14:25:16,781 INFO Experiment.PerfCost-4ea6: Processed 1480 samples out of 10000, 0 errors
14:25:26,928 INFO Experiment.PerfCost-4ea6: Processed 1490 samples out of 10000, 0 errors
14:25:37,47 INFO Experiment.PerfCost-4ea6: Processed 1500 samples out of 10000, 0 errors
14:25:47,179 INFO Experiment.PerfCost-4ea6: Processed 1510 samples out of 10000, 0 errors
14:25:57,299 INFO Experiment.PerfCost-4ea6: Processed 1520 samples out of 10000, 0 errors
14:26:07,421 INFO Experiment.PerfCost-4ea6: Processed 1530 samples out of 10000, 0 errors
14:26:17,541 INFO Experiment.PerfCost-4ea6: Processed 1540 samples out of 10000, 0 errors
14:26:27,653 INFO Experiment.PerfCost-4ea6: Processed 1550 samples out of 10000, 0 errors
14:26:37,781 INFO Experiment.PerfCost-4ea6: Processed 1560 samples out of 10000, 0 errors
14:26:47,895 INFO Experiment.PerfCost-4ea6: Processed 1570 samples out of 10000, 0 errors
14:26:58,23 INFO Experiment.PerfCost-4ea6: Processed 1580 samples out of 10000, 0 errors
14:27:08,147 INFO Experiment.PerfCost-4ea6: Processed 1590 samples out of 10000, 0 errors
14:27:18,271 INFO Experiment.PerfCost-4ea6: Processed 1600 samples out of 10000, 0 errors
14:27:28,408 INFO Experiment.PerfCost-4ea6: Processed 1610 samples out of 10000, 0 errors
14:27:38,526 INFO Experiment.PerfCost-4ea6: Processed 1620 samples out of 10000, 0 errors
14:27:48,658 INFO Experiment.PerfCost-4ea6: Processed 1630 samples out of 10000, 0 errors
14:27:58,789 INFO Experiment.PerfCost-4ea6: Processed 1640 samples out of 10000, 0 errors
14:28:08,907 INFO Experiment.PerfCost-4ea6: Processed 1650 samples out of 10000, 0 errors
14:28:19,26 INFO Experiment.PerfCost-4ea6: Processed 1660 samples out of 10000, 0 errors
14:28:29,166 INFO Experiment.PerfCost-4ea6: Processed 1670 samples out of 10000, 0 errors
14:28:39,278 INFO Experiment.PerfCost-4ea6: Processed 1680 samples out of 10000, 0 errors
14:28:49,399 INFO Experiment.PerfCost-4ea6: Processed 1690 samples out of 10000, 0 errors
14:28:59,523 INFO Experiment.PerfCost-4ea6: Processed 1700 samples out of 10000, 0 errors
14:29:09,660 INFO Experiment.PerfCost-4ea6: Processed 1710 samples out of 10000, 0 errors
14:29:19,783 INFO Experiment.PerfCost-4ea6: Processed 1720 samples out of 10000, 0 errors
14:29:29,922 INFO Experiment.PerfCost-4ea6: Processed 1730 samples out of 10000, 0 errors
14:29:40,55 INFO Experiment.PerfCost-4ea6: Processed 1740 samples out of 10000, 0 errors
14:29:50,170 INFO Experiment.PerfCost-4ea6: Processed 1750 samples out of 10000, 0 errors
14:30:00,285 INFO Experiment.PerfCost-4ea6: Processed 1760 samples out of 10000, 0 errors
14:30:10,407 INFO Experiment.PerfCost-4ea6: Processed 1770 samples out of 10000, 0 errors
14:30:20,528 INFO Experiment.PerfCost-4ea6: Processed 1780 samples out of 10000, 0 errors
14:30:30,677 INFO Experiment.PerfCost-4ea6: Processed 1790 samples out of 10000, 0 errors
14:30:40,814 INFO Experiment.PerfCost-4ea6: Processed 1800 samples out of 10000, 0 errors
14:30:50,930 INFO Experiment.PerfCost-4ea6: Processed 1810 samples out of 10000, 0 errors
14:31:01,43 INFO Experiment.PerfCost-4ea6: Processed 1820 samples out of 10000, 0 errors
14:31:11,171 INFO Experiment.PerfCost-4ea6: Processed 1830 samples out of 10000, 0 errors
14:31:21,284 INFO Experiment.PerfCost-4ea6: Processed 1840 samples out of 10000, 0 errors
14:31:31,404 INFO Experiment.PerfCost-4ea6: Processed 1850 samples out of 10000, 0 errors
14:31:41,521 INFO Experiment.PerfCost-4ea6: Processed 1860 samples out of 10000, 0 errors
14:31:51,670 INFO Experiment.PerfCost-4ea6: Processed 1870 samples out of 10000, 0 errors
14:32:01,780 INFO Experiment.PerfCost-4ea6: Processed 1880 samples out of 10000, 0 errors
14:32:11,903 INFO Experiment.PerfCost-4ea6: Processed 1890 samples out of 10000, 0 errors
14:32:22,40 INFO Experiment.PerfCost-4ea6: Processed 1900 samples out of 10000, 0 errors
14:32:32,173 INFO Experiment.PerfCost-4ea6: Processed 1910 samples out of 10000, 0 errors
14:32:42,288 INFO Experiment.PerfCost-4ea6: Processed 1920 samples out of 10000, 0 errors
14:32:52,400 INFO Experiment.PerfCost-4ea6: Processed 1930 samples out of 10000, 0 errors
14:33:02,524 INFO Experiment.PerfCost-4ea6: Processed 1940 samples out of 10000, 0 errors
14:33:12,642 INFO Experiment.PerfCost-4ea6: Processed 1950 samples out of 10000, 0 errors
14:33:22,777 INFO Experiment.PerfCost-4ea6: Processed 1960 samples out of 10000, 0 errors
14:33:32,909 INFO Experiment.PerfCost-4ea6: Processed 1970 samples out of 10000, 0 errors
14:33:43,31 INFO Experiment.PerfCost-4ea6: Processed 1980 samples out of 10000, 0 errors
14:33:53,157 INFO Experiment.PerfCost-4ea6: Processed 1990 samples out of 10000, 0 errors
14:34:03,278 INFO Experiment.PerfCost-4ea6: Processed 2000 samples out of 10000, 0 errors
14:34:13,414 INFO Experiment.PerfCost-4ea6: Processed 2010 samples out of 10000, 0 errors
14:34:23,532 INFO Experiment.PerfCost-4ea6: Processed 2020 samples out of 10000, 0 errors
14:34:33,659 INFO Experiment.PerfCost-4ea6: Processed 2030 samples out of 10000, 0 errors
14:34:43,790 INFO Experiment.PerfCost-4ea6: Processed 2040 samples out of 10000, 0 errors
14:34:53,915 INFO Experiment.PerfCost-4ea6: Processed 2050 samples out of 10000, 0 errors
14:35:04,33 INFO Experiment.PerfCost-4ea6: Processed 2060 samples out of 10000, 0 errors
14:35:14,156 INFO Experiment.PerfCost-4ea6: Processed 2070 samples out of 10000, 0 errors
14:35:24,278 INFO Experiment.PerfCost-4ea6: Processed 2080 samples out of 10000, 0 errors
14:35:34,433 INFO Experiment.PerfCost-4ea6: Processed 2090 samples out of 10000, 0 errors
14:35:44,564 INFO Experiment.PerfCost-4ea6: Processed 2100 samples out of 10000, 0 errors
14:35:54,704 INFO Experiment.PerfCost-4ea6: Processed 2110 samples out of 10000, 0 errors
14:36:04,831 INFO Experiment.PerfCost-4ea6: Processed 2120 samples out of 10000, 0 errors
14:36:14,954 INFO Experiment.PerfCost-4ea6: Processed 2130 samples out of 10000, 0 errors
14:36:25,89 INFO Experiment.PerfCost-4ea6: Processed 2140 samples out of 10000, 0 errors
14:36:35,218 INFO Experiment.PerfCost-4ea6: Processed 2150 samples out of 10000, 0 errors
14:36:45,329 INFO Experiment.PerfCost-4ea6: Processed 2160 samples out of 10000, 0 errors
14:36:55,453 INFO Experiment.PerfCost-4ea6: Processed 2170 samples out of 10000, 0 errors
14:37:05,591 INFO Experiment.PerfCost-4ea6: Processed 2180 samples out of 10000, 0 errors
14:37:15,710 INFO Experiment.PerfCost-4ea6: Processed 2190 samples out of 10000, 0 errors
14:37:25,833 INFO Experiment.PerfCost-4ea6: Processed 2200 samples out of 10000, 0 errors
14:37:35,950 INFO Experiment.PerfCost-4ea6: Processed 2210 samples out of 10000, 0 errors
14:37:46,77 INFO Experiment.PerfCost-4ea6: Processed 2220 samples out of 10000, 0 errors
