19:49:16,865 INFO SeBS-74f6: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/620.uploader-otel
19:49:17,229 INFO OpenWhisk.Resources-b49a: Using user-provided configuration of storage for OpenWhisk.
19:49:17,230 INFO OpenWhisk-3384: Using existing resource name: fd5e1ae0.
19:49:17,233 INFO Benchmark-de75: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
20:10:04,640 INFO Experiment.PerfCost-db86: Processed 1210 samples out of 10000, 0 errors
20:10:14,827 INFO Experiment.PerfCost-db86: Processed 1220 samples out of 10000, 0 errors
20:10:25,50 INFO Experiment.PerfCost-db86: Processed 1230 samples out of 10000, 0 errors
20:10:35,237 INFO Experiment.PerfCost-db86: Processed 1240 samples out of 10000, 0 errors
20:10:45,428 INFO Experiment.PerfCost-db86: Processed 1250 samples out of 10000, 0 errors
20:10:55,625 INFO Experiment.PerfCost-db86: Processed 1260 samples out of 10000, 0 errors
20:11:05,828 INFO Experiment.PerfCost-db86: Processed 1270 samples out of 10000, 0 errors
20:11:16,19 INFO Experiment.PerfCost-db86: Processed 1280 samples out of 10000, 0 errors
20:11:26,215 INFO Experiment.PerfCost-db86: Processed 1290 samples out of 10000, 0 errors
20:11:36,421 INFO Experiment.PerfCost-db86: Processed 1300 samples out of 10000, 0 errors
20:11:46,622 INFO Experiment.PerfCost-db86: Processed 1310 samples out of 10000, 0 errors
20:11:56,822 INFO Experiment.PerfCost-db86: Processed 1320 samples out of 10000, 0 errors
20:12:07,16 INFO Experiment.PerfCost-db86: Processed 1330 samples out of 10000, 0 errors
20:12:17,201 INFO Experiment.PerfCost-db86: Processed 1340 samples out of 10000, 0 errors
20:12:27,405 INFO Experiment.PerfCost-db86: Processed 1350 samples out of 10000, 0 errors
20:12:37,606 INFO Experiment.PerfCost-db86: Processed 1360 samples out of 10000, 0 errors
20:12:47,798 INFO Experiment.PerfCost-db86: Processed 1370 samples out of 10000, 0 errors
20:12:58,66 INFO Experiment.PerfCost-db86: Processed 1380 samples out of 10000, 0 errors
20:13:08,272 INFO Experiment.PerfCost-db86: Processed 1390 samples out of 10000, 0 errors
20:13:18,451 INFO Experiment.PerfCost-db86: Processed 1400 samples out of 10000, 0 errors
20:13:28,640 INFO Experiment.PerfCost-db86: Processed 1410 samples out of 10000, 0 errors
20:13:38,838 INFO Experiment.PerfCost-db86: Processed 1420 samples out of 10000, 0 errors
20:13:49,26 INFO Experiment.PerfCost-db86: Processed 1430 samples out of 10000, 0 errors
20:13:59,212 INFO Experiment.PerfCost-db86: Processed 1440 samples out of 10000, 0 errors
20:14:09,406 INFO Experiment.PerfCost-db86: Processed 1450 samples out of 10000, 0 errors
20:14:19,602 INFO Experiment.PerfCost-db86: Processed 1460 samples out of 10000, 0 errors
20:14:29,804 INFO Experiment.PerfCost-db86: Processed 1470 samples out of 10000, 0 errors
20:14:40,6 INFO Experiment.PerfCost-db86: Processed 1480 samples out of 10000, 0 errors
20:14:50,213 INFO Experiment.PerfCost-db86: Processed 1490 samples out of 10000, 0 errors
20:15:00,413 INFO Experiment.PerfCost-db86: Processed 1500 samples out of 10000, 0 errors
20:15:10,601 INFO Experiment.PerfCost-db86: Processed 1510 samples out of 10000, 0 errors
20:15:20,793 INFO Experiment.PerfCost-db86: Processed 1520 samples out of 10000, 0 errors
20:15:31,5 INFO Experiment.PerfCost-db86: Processed 1530 samples out of 10000, 0 errors
20:15:41,193 INFO Experiment.PerfCost-db86: Processed 1540 samples out of 10000, 0 errors
20:15:51,393 INFO Experiment.PerfCost-db86: Processed 1550 samples out of 10000, 0 errors
20:16:01,592 INFO Experiment.PerfCost-db86: Processed 1560 samples out of 10000, 0 errors
20:16:11,798 INFO Experiment.PerfCost-db86: Processed 1570 samples out of 10000, 0 errors
20:16:21,993 INFO Experiment.PerfCost-db86: Processed 1580 samples out of 10000, 0 errors
20:16:32,220 INFO Experiment.PerfCost-db86: Processed 1590 samples out of 10000, 0 errors
20:16:42,428 INFO Experiment.PerfCost-db86: Processed 1600 samples out of 10000, 0 errors
20:16:52,627 INFO Experiment.PerfCost-db86: Processed 1610 samples out of 10000, 0 errors
20:17:02,822 INFO Experiment.PerfCost-db86: Processed 1620 samples out of 10000, 0 errors
20:17:13,13 INFO Experiment.PerfCost-db86: Processed 1630 samples out of 10000, 0 errors
20:17:23,203 INFO Experiment.PerfCost-db86: Processed 1640 samples out of 10000, 0 errors
20:17:33,411 INFO Experiment.PerfCost-db86: Processed 1650 samples out of 10000, 0 errors
20:17:43,619 INFO Experiment.PerfCost-db86: Processed 1660 samples out of 10000, 0 errors
20:17:53,812 INFO Experiment.PerfCost-db86: Processed 1670 samples out of 10000, 0 errors
20:18:04,60 INFO Experiment.PerfCost-db86: Processed 1680 samples out of 10000, 0 errors
20:18:14,255 INFO Experiment.PerfCost-db86: Processed 1690 samples out of 10000, 0 errors
20:18:24,443 INFO Experiment.PerfCost-db86: Processed 1700 samples out of 10000, 0 errors
20:18:34,655 INFO Experiment.PerfCost-db86: Processed 1710 samples out of 10000, 0 errors
20:18:44,854 INFO Experiment.PerfCost-db86: Processed 1720 samples out of 10000, 0 errors
20:18:55,39 INFO Experiment.PerfCost-db86: Processed 1730 samples out of 10000, 0 errors
20:19:05,225 INFO Experiment.PerfCost-db86: Processed 1740 samples out of 10000, 0 errors
20:19:15,420 INFO Experiment.PerfCost-db86: Processed 1750 samples out of 10000, 0 errors
20:19:25,619 INFO Experiment.PerfCost-db86: Processed 1760 samples out of 10000, 0 errors
20:19:35,820 INFO Experiment.PerfCost-db86: Processed 1770 samples out of 10000, 0 errors
20:19:46,10 INFO Experiment.PerfCost-db86: Processed 1780 samples out of 10000, 0 errors
20:19:56,216 INFO Experiment.PerfCost-db86: Processed 1790 samples out of 10000, 0 errors
20:20:06,420 INFO Experiment.PerfCost-db86: Processed 1800 samples out of 10000, 0 errors
20:20:16,605 INFO Experiment.PerfCost-db86: Processed 1810 samples out of 10000, 0 errors
20:20:26,797 INFO Experiment.PerfCost-db86: Processed 1820 samples out of 10000, 0 errors
20:20:36,994 INFO Experiment.PerfCost-db86: Processed 1830 samples out of 10000, 0 errors
