17:00:09,908 INFO SeBS-3704: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/610.dynamic-html-otel
17:00:10,273 INFO OpenWhisk.Resources-e9f0: Using user-provided configuration of storage for OpenWhisk.
17:00:10,273 INFO OpenWhisk-83d8: Using existing resource name: fd5e1ae0.
17:00:10,275 INFO Benchmark-40b9: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
17:22:38,113 INFO Experiment.PerfCost-0dff: Processed 1320 samples out of 10000, 0 errors
17:22:48,220 INFO Experiment.PerfCost-0dff: Processed 1330 samples out of 10000, 0 errors
17:22:58,340 INFO Experiment.PerfCost-0dff: Processed 1340 samples out of 10000, 0 errors
17:23:08,458 INFO Experiment.PerfCost-0dff: Processed 1350 samples out of 10000, 0 errors
17:23:18,571 INFO Experiment.PerfCost-0dff: Processed 1360 samples out of 10000, 0 errors
17:23:28,669 INFO Experiment.PerfCost-0dff: Processed 1370 samples out of 10000, 0 errors
17:23:38,766 INFO Experiment.PerfCost-0dff: Processed 1380 samples out of 10000, 0 errors
17:23:48,863 INFO Experiment.PerfCost-0dff: Processed 1390 samples out of 10000, 0 errors
17:23:58,962 INFO Experiment.PerfCost-0dff: Processed 1400 samples out of 10000, 0 errors
17:24:09,54 INFO Experiment.PerfCost-0dff: Processed 1410 samples out of 10000, 0 errors
17:24:19,153 INFO Experiment.PerfCost-0dff: Processed 1420 samples out of 10000, 0 errors
17:24:29,261 INFO Experiment.PerfCost-0dff: Processed 1430 samples out of 10000, 0 errors
17:24:39,350 INFO Experiment.PerfCost-0dff: Processed 1440 samples out of 10000, 0 errors
17:24:49,457 INFO Experiment.PerfCost-0dff: Processed 1450 samples out of 10000, 0 errors
17:24:59,559 INFO Experiment.PerfCost-0dff: Processed 1460 samples out of 10000, 0 errors
17:25:09,692 INFO Experiment.PerfCost-0dff: Processed 1470 samples out of 10000, 0 errors
17:25:19,796 INFO Experiment.PerfCost-0dff: Processed 1480 samples out of 10000, 0 errors
17:25:29,896 INFO Experiment.PerfCost-0dff: Processed 1490 samples out of 10000, 0 errors
17:25:40,53 INFO Experiment.PerfCost-0dff: Processed 1500 samples out of 10000, 0 errors
17:25:50,176 INFO Experiment.PerfCost-0dff: Processed 1510 samples out of 10000, 0 errors
17:26:00,284 INFO Experiment.PerfCost-0dff: Processed 1520 samples out of 10000, 0 errors
17:26:10,411 INFO Experiment.PerfCost-0dff: Processed 1530 samples out of 10000, 0 errors
17:26:20,519 INFO Experiment.PerfCost-0dff: Processed 1540 samples out of 10000, 0 errors
17:26:30,637 INFO Experiment.PerfCost-0dff: Processed 1550 samples out of 10000, 0 errors
17:26:40,754 INFO Experiment.PerfCost-0dff: Processed 1560 samples out of 10000, 0 errors
17:26:50,850 INFO Experiment.PerfCost-0dff: Processed 1570 samples out of 10000, 0 errors
17:27:00,959 INFO Experiment.PerfCost-0dff: Processed 1580 samples out of 10000, 0 errors
17:27:11,69 INFO Experiment.PerfCost-0dff: Processed 1590 samples out of 10000, 0 errors
17:27:21,178 INFO Experiment.PerfCost-0dff: Processed 1600 samples out of 10000, 0 errors
17:27:31,293 INFO Experiment.PerfCost-0dff: Processed 1610 samples out of 10000, 0 errors
17:27:41,394 INFO Experiment.PerfCost-0dff: Processed 1620 samples out of 10000, 0 errors
17:27:51,499 INFO Experiment.PerfCost-0dff: Processed 1630 samples out of 10000, 0 errors
17:28:01,617 INFO Experiment.PerfCost-0dff: Processed 1640 samples out of 10000, 0 errors
17:28:11,722 INFO Experiment.PerfCost-0dff: Processed 1650 samples out of 10000, 0 errors
