03:11:31,677 INFO Experiment.PerfCost-9875: Processed 2250 samples out of 10000, 0 errors
03:11:41,999 INFO Experiment.PerfCost-9875: Processed 2260 samples out of 10000, 0 errors
03:11:52,333 INFO Experiment.PerfCost-9875: Processed 2270 samples out of 10000, 0 errors
03:12:02,691 INFO Experiment.PerfCost-9875: Processed 2280 samples out of 10000, 0 errors
03:12:13,15 INFO Experiment.PerfCost-9875: Processed 2290 samples out of 10000, 0 errors
03:12:23,337 INFO Experiment.PerfCost-9875: Processed 2300 samples out of 10000, 0 errors
03:12:33,660 INFO Experiment.PerfCost-9875: Processed 2310 samples out of 10000, 0 errors
03:12:43,977 INFO Experiment.PerfCost-9875: Processed 2320 samples out of 10000, 0 errors
03:12:54,294 INFO Experiment.PerfCost-9875: Processed 2330 samples out of 10000, 0 errors
03:13:04,611 INFO Experiment.PerfCost-9875: Processed 2340 samples out of 10000, 0 errors
03:13:14,950 INFO Experiment.PerfCost-9875: Processed 2350 samples out of 10000, 0 errors
03:13:25,281 INFO Experiment.PerfCost-9875: Processed 2360 samples out of 10000, 0 errors
03:13:35,613 INFO Experiment.PerfCost-9875: Processed 2370 samples out of 10000, 0 errors
03:13:45,932 INFO Experiment.PerfCost-9875: Processed 2380 samples out of 10000, 0 errors
03:13:56,247 INFO Experiment.PerfCost-9875: Processed 2390 samples out of 10000, 0 errors
03:14:06,577 INFO Experiment.PerfCost-9875: Processed 2400 samples out of 10000, 0 errors
03:14:16,898 INFO Experiment.PerfCost-9875: Processed 2410 samples out of 10000, 0 errors
03:14:27,227 INFO Experiment.PerfCost-9875: Processed 2420 samples out of 10000, 0 errors
03:14:37,562 INFO Experiment.PerfCost-9875: Processed 2430 samples out of 10000, 0 errors
03:14:47,868 INFO Experiment.PerfCost-9875: Processed 2440 samples out of 10000, 0 errors
03:14:58,194 INFO Experiment.PerfCost-9875: Processed 2450 samples out of 10000, 0 errors
03:15:08,533 INFO Experiment.PerfCost-9875: Processed 2460 samples out of 10000, 0 errors
03:15:18,855 INFO Experiment.PerfCost-9875: Processed 2470 samples out of 10000, 0 errors
03:15:29,200 INFO Experiment.PerfCost-9875: Processed 2480 samples out of 10000, 0 errors
03:15:39,526 INFO Experiment.PerfCost-9875: Processed 2490 samples out of 10000, 0 errors
03:15:49,841 INFO Experiment.PerfCost-9875: Processed 2500 samples out of 10000, 0 errors
03:16:00,157 INFO Experiment.PerfCost-9875: Processed 2510 samples out of 10000, 0 errors
03:16:10,485 INFO Experiment.PerfCost-9875: Processed 2520 samples out of 10000, 0 errors
03:16:20,813 INFO Experiment.PerfCost-9875: Processed 2530 samples out of 10000, 0 errors
03:16:31,125 INFO Experiment.PerfCost-9875: Processed 2540 samples out of 10000, 0 errors
03:16:41,451 INFO Experiment.PerfCost-9875: Processed 2550 samples out of 10000, 0 errors
03:16:51,762 INFO Experiment.PerfCost-9875: Processed 2560 samples out of 10000, 0 errors
03:17:02,71 INFO Experiment.PerfCost-9875: Processed 2570 samples out of 10000, 0 errors
03:17:12,461 INFO Experiment.PerfCost-9875: Processed 2580 samples out of 10000, 0 errors
03:17:22,778 INFO Experiment.PerfCost-9875: Processed 2590 samples out of 10000, 0 errors
03:17:33,103 INFO Experiment.PerfCost-9875: Processed 2600 samples out of 10000, 0 errors
03:17:43,434 INFO Experiment.PerfCost-9875: Processed 2610 samples out of 10000, 0 errors
03:17:53,760 INFO Experiment.PerfCost-9875: Processed 2620 samples out of 10000, 0 errors
03:18:04,77 INFO Experiment.PerfCost-9875: Processed 2630 samples out of 10000, 0 errors
03:18:14,402 INFO Experiment.PerfCost-9875: Processed 2640 samples out of 10000, 0 errors
03:18:24,718 INFO Experiment.PerfCost-9875: Processed 2650 samples out of 10000, 0 errors
03:18:35,33 INFO Experiment.PerfCost-9875: Processed 2660 samples out of 10000, 0 errors
03:18:45,364 INFO Experiment.PerfCost-9875: Processed 2670 samples out of 10000, 0 errors
03:18:55,685 INFO Experiment.PerfCost-9875: Processed 2680 samples out of 10000, 0 errors
03:19:06,13 INFO Experiment.PerfCost-9875: Processed 2690 samples out of 10000, 0 errors
03:19:16,352 INFO Experiment.PerfCost-9875: Processed 2700 samples out of 10000, 0 errors
03:19:26,694 INFO Experiment.PerfCost-9875: Processed 2710 samples out of 10000, 0 errors
03:19:36,999 INFO Experiment.PerfCost-9875: Processed 2720 samples out of 10000, 0 errors
03:19:47,340 INFO Experiment.PerfCost-9875: Processed 2730 samples out of 10000, 0 errors
03:19:57,655 INFO Experiment.PerfCost-9875: Processed 2740 samples out of 10000, 0 errors
03:20:07,967 INFO Experiment.PerfCost-9875: Processed 2750 samples out of 10000, 0 errors
03:20:18,292 INFO Experiment.PerfCost-9875: Processed 2760 samples out of 10000, 0 errors
03:20:28,616 INFO Experiment.PerfCost-9875: Processed 2770 samples out of 10000, 0 errors
03:20:38,936 INFO Experiment.PerfCost-9875: Processed 2780 samples out of 10000, 0 errors
03:20:49,258 INFO Experiment.PerfCost-9875: Processed 2790 samples out of 10000, 0 errors
03:20:59,593 INFO Experiment.PerfCost-9875: Processed 2800 samples out of 10000, 0 errors
03:21:09,898 INFO Experiment.PerfCost-9875: Processed 2810 samples out of 10000, 0 errors
03:21:20,213 INFO Experiment.PerfCost-9875: Processed 2820 samples out of 10000, 0 errors
03:21:30,532 INFO Experiment.PerfCost-9875: Processed 2830 samples out of 10000, 0 errors
03:21:40,847 INFO Experiment.PerfCost-9875: Processed 2840 samples out of 10000, 0 errors
03:21:51,170 INFO Experiment.PerfCost-9875: Processed 2850 samples out of 10000, 0 errors
03:22:01,508 INFO Experiment.PerfCost-9875: Processed 2860 samples out of 10000, 0 errors
03:22:11,825 INFO Experiment.PerfCost-9875: Processed 2870 samples out of 10000, 0 errors
03:22:22,185 INFO Experiment.PerfCost-9875: Processed 2880 samples out of 10000, 0 errors
03:22:32,505 INFO Experiment.PerfCost-9875: Processed 2890 samples out of 10000, 0 errors
03:22:42,835 INFO Experiment.PerfCost-9875: Processed 2900 samples out of 10000, 0 errors
03:22:53,160 INFO Experiment.PerfCost-9875: Processed 2910 samples out of 10000, 0 errors
03:23:03,479 INFO Experiment.PerfCost-9875: Processed 2920 samples out of 10000, 0 errors
03:23:13,799 INFO Experiment.PerfCost-9875: Processed 2930 samples out of 10000, 0 errors
