16:49:24,6 INFO SeBS-3a87: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/620.uploader-otel
16:49:24,353 INFO OpenWhisk.Resources-49e2: Using user-provided configuration of storage for OpenWhisk.
16:49:24,354 INFO OpenWhisk-6aa3: Using existing resource name: 8504288e.
16:49:24,358 INFO Benchmark-1bfc: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
17:11:52,525 INFO Experiment.PerfCost-961b: Processed 1310 samples out of 10000, 0 errors
17:12:02,699 INFO Experiment.PerfCost-961b: Processed 1320 samples out of 10000, 0 errors
17:12:12,858 INFO Experiment.PerfCost-961b: Processed 1330 samples out of 10000, 0 errors
17:12:23,25 INFO Experiment.PerfCost-961b: Processed 1340 samples out of 10000, 0 errors
17:12:33,195 INFO Experiment.PerfCost-961b: Processed 1350 samples out of 10000, 0 errors
17:12:43,379 INFO Experiment.PerfCost-961b: Processed 1360 samples out of 10000, 0 errors
17:12:53,577 INFO Experiment.PerfCost-961b: Processed 1370 samples out of 10000, 0 errors
17:13:03,791 INFO Experiment.PerfCost-961b: Processed 1380 samples out of 10000, 0 errors
17:13:13,967 INFO Experiment.PerfCost-961b: Processed 1390 samples out of 10000, 0 errors
17:13:24,147 INFO Experiment.PerfCost-961b: Processed 1400 samples out of 10000, 0 errors
17:13:34,323 INFO Experiment.PerfCost-961b: Processed 1410 samples out of 10000, 0 errors
17:13:44,482 INFO Experiment.PerfCost-961b: Processed 1420 samples out of 10000, 0 errors
17:13:54,649 INFO Experiment.PerfCost-961b: Processed 1430 samples out of 10000, 0 errors
17:14:04,826 INFO Experiment.PerfCost-961b: Processed 1440 samples out of 10000, 0 errors
17:14:14,996 INFO Experiment.PerfCost-961b: Processed 1450 samples out of 10000, 0 errors
17:14:25,179 INFO Experiment.PerfCost-961b: Processed 1460 samples out of 10000, 0 errors
17:14:35,351 INFO Experiment.PerfCost-961b: Processed 1470 samples out of 10000, 0 errors
17:14:45,528 INFO Experiment.PerfCost-961b: Processed 1480 samples out of 10000, 0 errors
17:14:55,706 INFO Experiment.PerfCost-961b: Processed 1490 samples out of 10000, 0 errors
17:15:05,897 INFO Experiment.PerfCost-961b: Processed 1500 samples out of 10000, 0 errors
17:15:16,62 INFO Experiment.PerfCost-961b: Processed 1510 samples out of 10000, 0 errors
17:15:26,250 INFO Experiment.PerfCost-961b: Processed 1520 samples out of 10000, 0 errors
17:15:36,431 INFO Experiment.PerfCost-961b: Processed 1530 samples out of 10000, 0 errors
17:15:46,600 INFO Experiment.PerfCost-961b: Processed 1540 samples out of 10000, 0 errors
17:15:56,771 INFO Experiment.PerfCost-961b: Processed 1550 samples out of 10000, 0 errors
17:16:06,931 INFO Experiment.PerfCost-961b: Processed 1560 samples out of 10000, 0 errors
17:16:17,110 INFO Experiment.PerfCost-961b: Processed 1570 samples out of 10000, 0 errors
17:16:27,300 INFO Experiment.PerfCost-961b: Processed 1580 samples out of 10000, 0 errors
17:16:37,470 INFO Experiment.PerfCost-961b: Processed 1590 samples out of 10000, 0 errors
17:16:47,661 INFO Experiment.PerfCost-961b: Processed 1600 samples out of 10000, 0 errors
17:16:57,831 INFO Experiment.PerfCost-961b: Processed 1610 samples out of 10000, 0 errors
17:17:08,3 INFO Experiment.PerfCost-961b: Processed 1620 samples out of 10000, 0 errors
17:17:18,171 INFO Experiment.PerfCost-961b: Processed 1630 samples out of 10000, 0 errors
17:17:28,337 INFO Experiment.PerfCost-961b: Processed 1640 samples out of 10000, 0 errors
17:17:38,512 INFO Experiment.PerfCost-961b: Processed 1650 samples out of 10000, 0 errors
17:17:48,697 INFO Experiment.PerfCost-961b: Processed 1660 samples out of 10000, 0 errors
