19:26:31,153 INFO Experiment.PerfCost-1be2: Processed 1070 samples out of 10000, 0 errors
19:26:41,263 INFO Experiment.PerfCost-1be2: Processed 1080 samples out of 10000, 0 errors
19:26:51,391 INFO Experiment.PerfCost-1be2: Processed 1090 samples out of 10000, 0 errors
19:27:01,505 INFO Experiment.PerfCost-1be2: Processed 1100 samples out of 10000, 0 errors
19:27:11,613 INFO Experiment.PerfCost-1be2: Processed 1110 samples out of 10000, 0 errors
19:27:21,719 INFO Experiment.PerfCost-1be2: Processed 1120 samples out of 10000, 0 errors
19:27:31,827 INFO Experiment.PerfCost-1be2: Processed 1130 samples out of 10000, 0 errors
19:27:41,936 INFO Experiment.PerfCost-1be2: Processed 1140 samples out of 10000, 0 errors
19:27:52,38 INFO Experiment.PerfCost-1be2: Processed 1150 samples out of 10000, 0 errors
19:28:02,153 INFO Experiment.PerfCost-1be2: Processed 1160 samples out of 10000, 0 errors
19:28:12,255 INFO Experiment.PerfCost-1be2: Processed 1170 samples out of 10000, 0 errors
19:28:22,356 INFO Experiment.PerfCost-1be2: Processed 1180 samples out of 10000, 0 errors
19:28:32,455 INFO Experiment.PerfCost-1be2: Processed 1190 samples out of 10000, 0 errors
19:28:42,582 INFO Experiment.PerfCost-1be2: Processed 1200 samples out of 10000, 0 errors
19:28:52,682 INFO Experiment.PerfCost-1be2: Processed 1210 samples out of 10000, 0 errors
19:29:02,809 INFO Experiment.PerfCost-1be2: Processed 1220 samples out of 10000, 0 errors
19:29:12,917 INFO Experiment.PerfCost-1be2: Processed 1230 samples out of 10000, 0 errors
19:29:23,23 INFO Experiment.PerfCost-1be2: Processed 1240 samples out of 10000, 0 errors
19:29:33,135 INFO Experiment.PerfCost-1be2: Processed 1250 samples out of 10000, 0 errors
19:29:43,237 INFO Experiment.PerfCost-1be2: Processed 1260 samples out of 10000, 0 errors
19:29:53,351 INFO Experiment.PerfCost-1be2: Processed 1270 samples out of 10000, 0 errors
19:30:03,450 INFO Experiment.PerfCost-1be2: Processed 1280 samples out of 10000, 0 errors
19:30:13,549 INFO Experiment.PerfCost-1be2: Processed 1290 samples out of 10000, 0 errors
19:30:23,682 INFO Experiment.PerfCost-1be2: Processed 1300 samples out of 10000, 0 errors
19:30:33,786 INFO Experiment.PerfCost-1be2: Processed 1310 samples out of 10000, 0 errors
19:30:43,889 INFO Experiment.PerfCost-1be2: Processed 1320 samples out of 10000, 0 errors
19:30:53,987 INFO Experiment.PerfCost-1be2: Processed 1330 samples out of 10000, 0 errors
19:31:04,107 INFO Experiment.PerfCost-1be2: Processed 1340 samples out of 10000, 0 errors
19:31:14,213 INFO Experiment.PerfCost-1be2: Processed 1350 samples out of 10000, 0 errors
19:31:24,314 INFO Experiment.PerfCost-1be2: Processed 1360 samples out of 10000, 0 errors
19:31:34,413 INFO Experiment.PerfCost-1be2: Processed 1370 samples out of 10000, 0 errors
19:31:44,527 INFO Experiment.PerfCost-1be2: Processed 1380 samples out of 10000, 0 errors
19:31:54,647 INFO Experiment.PerfCost-1be2: Processed 1390 samples out of 10000, 0 errors
19:32:04,751 INFO Experiment.PerfCost-1be2: Processed 1400 samples out of 10000, 0 errors
19:32:14,851 INFO Experiment.PerfCost-1be2: Processed 1410 samples out of 10000, 0 errors
19:32:24,957 INFO Experiment.PerfCost-1be2: Processed 1420 samples out of 10000, 0 errors
19:32:35,70 INFO Experiment.PerfCost-1be2: Processed 1430 samples out of 10000, 0 errors
19:32:45,178 INFO Experiment.PerfCost-1be2: Processed 1440 samples out of 10000, 0 errors
19:32:55,288 INFO Experiment.PerfCost-1be2: Processed 1450 samples out of 10000, 0 errors
19:33:05,389 INFO Experiment.PerfCost-1be2: Processed 1460 samples out of 10000, 0 errors
19:33:15,505 INFO Experiment.PerfCost-1be2: Processed 1470 samples out of 10000, 0 errors
19:33:25,602 INFO Experiment.PerfCost-1be2: Processed 1480 samples out of 10000, 0 errors
19:33:35,714 INFO Experiment.PerfCost-1be2: Processed 1490 samples out of 10000, 0 errors
19:33:45,825 INFO Experiment.PerfCost-1be2: Processed 1500 samples out of 10000, 0 errors
19:33:55,931 INFO Experiment.PerfCost-1be2: Processed 1510 samples out of 10000, 0 errors
19:34:06,71 INFO Experiment.PerfCost-1be2: Processed 1520 samples out of 10000, 0 errors
19:34:16,181 INFO Experiment.PerfCost-1be2: Processed 1530 samples out of 10000, 0 errors
19:34:26,280 INFO Experiment.PerfCost-1be2: Processed 1540 samples out of 10000, 0 errors
19:34:36,385 INFO Experiment.PerfCost-1be2: Processed 1550 samples out of 10000, 0 errors
19:34:46,504 INFO Experiment.PerfCost-1be2: Processed 1560 samples out of 10000, 0 errors
19:34:56,621 INFO Experiment.PerfCost-1be2: Processed 1570 samples out of 10000, 0 errors
19:35:06,714 INFO Experiment.PerfCost-1be2: Processed 1580 samples out of 10000, 0 errors
19:35:16,831 INFO Experiment.PerfCost-1be2: Processed 1590 samples out of 10000, 0 errors
19:35:26,945 INFO Experiment.PerfCost-1be2: Processed 1600 samples out of 10000, 0 errors
19:35:37,58 INFO Experiment.PerfCost-1be2: Processed 1610 samples out of 10000, 0 errors
19:35:47,158 INFO Experiment.PerfCost-1be2: Processed 1620 samples out of 10000, 0 errors
19:35:57,261 INFO Experiment.PerfCost-1be2: Processed 1630 samples out of 10000, 0 errors
19:36:07,369 INFO Experiment.PerfCost-1be2: Processed 1640 samples out of 10000, 0 errors
19:36:17,467 INFO Experiment.PerfCost-1be2: Processed 1650 samples out of 10000, 0 errors
19:36:27,567 INFO Experiment.PerfCost-1be2: Processed 1660 samples out of 10000, 0 errors
19:36:37,668 INFO Experiment.PerfCost-1be2: Processed 1670 samples out of 10000, 0 errors
19:36:47,776 INFO Experiment.PerfCost-1be2: Processed 1680 samples out of 10000, 0 errors
19:36:57,901 INFO Experiment.PerfCost-1be2: Processed 1690 samples out of 10000, 0 errors
19:37:07,996 INFO Experiment.PerfCost-1be2: Processed 1700 samples out of 10000, 0 errors
19:37:18,102 INFO Experiment.PerfCost-1be2: Processed 1710 samples out of 10000, 0 errors
19:37:28,203 INFO Experiment.PerfCost-1be2: Processed 1720 samples out of 10000, 0 errors
19:37:38,322 INFO Experiment.PerfCost-1be2: Processed 1730 samples out of 10000, 0 errors
19:37:48,421 INFO Experiment.PerfCost-1be2: Processed 1740 samples out of 10000, 0 errors
19:37:58,527 INFO Experiment.PerfCost-1be2: Processed 1750 samples out of 10000, 0 errors
19:38:08,631 INFO Experiment.PerfCost-1be2: Processed 1760 samples out of 10000, 0 errors
19:38:18,738 INFO Experiment.PerfCost-1be2: Processed 1770 samples out of 10000, 0 errors
19:38:28,839 INFO Experiment.PerfCost-1be2: Processed 1780 samples out of 10000, 0 errors
19:38:38,948 INFO Experiment.PerfCost-1be2: Processed 1790 samples out of 10000, 0 errors
19:38:49,68 INFO Experiment.PerfCost-1be2: Processed 1800 samples out of 10000, 0 errors
19:38:59,166 INFO Experiment.PerfCost-1be2: Processed 1810 samples out of 10000, 0 errors
19:39:09,290 INFO Experiment.PerfCost-1be2: Processed 1820 samples out of 10000, 0 errors
19:39:19,392 INFO Experiment.PerfCost-1be2: Processed 1830 samples out of 10000, 0 errors
19:39:29,486 INFO Experiment.PerfCost-1be2: Processed 1840 samples out of 10000, 0 errors
19:39:39,600 INFO Experiment.PerfCost-1be2: Processed 1850 samples out of 10000, 0 errors
19:39:49,718 INFO Experiment.PerfCost-1be2: Processed 1860 samples out of 10000, 0 errors
19:39:59,836 INFO Experiment.PerfCost-1be2: Processed 1870 samples out of 10000, 0 errors
19:40:09,939 INFO Experiment.PerfCost-1be2: Processed 1880 samples out of 10000, 0 errors
19:40:20,44 INFO Experiment.PerfCost-1be2: Processed 1890 samples out of 10000, 0 errors
19:40:30,151 INFO Experiment.PerfCost-1be2: Processed 1900 samples out of 10000, 0 errors
19:40:40,247 INFO Experiment.PerfCost-1be2: Processed 1910 samples out of 10000, 0 errors
19:40:50,356 INFO Experiment.PerfCost-1be2: Processed 1920 samples out of 10000, 0 errors
19:41:00,481 INFO Experiment.PerfCost-1be2: Processed 1930 samples out of 10000, 0 errors
19:41:10,572 INFO Experiment.PerfCost-1be2: Processed 1940 samples out of 10000, 0 errors
19:41:20,676 INFO Experiment.PerfCost-1be2: Processed 1950 samples out of 10000, 0 errors
19:41:30,775 INFO Experiment.PerfCost-1be2: Processed 1960 samples out of 10000, 0 errors
19:41:40,881 INFO Experiment.PerfCost-1be2: Processed 1970 samples out of 10000, 0 errors
19:41:50,988 INFO Experiment.PerfCost-1be2: Processed 1980 samples out of 10000, 0 errors
19:42:01,123 INFO Experiment.PerfCost-1be2: Processed 1990 samples out of 10000, 0 errors
19:42:11,238 INFO Experiment.PerfCost-1be2: Processed 2000 samples out of 10000, 0 errors
19:42:21,342 INFO Experiment.PerfCost-1be2: Processed 2010 samples out of 10000, 0 errors
19:42:31,432 INFO Experiment.PerfCost-1be2: Processed 2020 samples out of 10000, 0 errors
19:42:41,533 INFO Experiment.PerfCost-1be2: Processed 2030 samples out of 10000, 0 errors
19:42:51,639 INFO Experiment.PerfCost-1be2: Processed 2040 samples out of 10000, 0 errors
19:43:01,748 INFO Experiment.PerfCost-1be2: Processed 2050 samples out of 10000, 0 errors
19:43:11,852 INFO Experiment.PerfCost-1be2: Processed 2060 samples out of 10000, 0 errors
19:43:21,960 INFO Experiment.PerfCost-1be2: Processed 2070 samples out of 10000, 0 errors
19:43:32,56 INFO Experiment.PerfCost-1be2: Processed 2080 samples out of 10000, 0 errors
19:43:42,154 INFO Experiment.PerfCost-1be2: Processed 2090 samples out of 10000, 0 errors
19:43:52,260 INFO Experiment.PerfCost-1be2: Processed 2100 samples out of 10000, 0 errors
19:44:02,361 INFO Experiment.PerfCost-1be2: Processed 2110 samples out of 10000, 0 errors
19:44:12,479 INFO Experiment.PerfCost-1be2: Processed 2120 samples out of 10000, 0 errors
19:44:22,587 INFO Experiment.PerfCost-1be2: Processed 2130 samples out of 10000, 0 errors
19:44:32,688 INFO Experiment.PerfCost-1be2: Processed 2140 samples out of 10000, 0 errors
19:44:42,803 INFO Experiment.PerfCost-1be2: Processed 2150 samples out of 10000, 0 errors
19:44:52,924 INFO Experiment.PerfCost-1be2: Processed 2160 samples out of 10000, 0 errors
19:45:03,25 INFO Experiment.PerfCost-1be2: Processed 2170 samples out of 10000, 0 errors
19:45:13,156 INFO Experiment.PerfCost-1be2: Processed 2180 samples out of 10000, 0 errors
19:45:23,276 INFO Experiment.PerfCost-1be2: Processed 2190 samples out of 10000, 0 errors
19:45:33,378 INFO Experiment.PerfCost-1be2: Processed 2200 samples out of 10000, 0 errors
19:45:43,473 INFO Experiment.PerfCost-1be2: Processed 2210 samples out of 10000, 0 errors
19:45:53,569 INFO Experiment.PerfCost-1be2: Processed 2220 samples out of 10000, 0 errors
19:46:03,677 INFO Experiment.PerfCost-1be2: Processed 2230 samples out of 10000, 0 errors
19:46:13,785 INFO Experiment.PerfCost-1be2: Processed 2240 samples out of 10000, 0 errors
19:46:23,886 INFO Experiment.PerfCost-1be2: Processed 2250 samples out of 10000, 0 errors
19:46:33,995 INFO Experiment.PerfCost-1be2: Processed 2260 samples out of 10000, 0 errors
19:46:44,106 INFO Experiment.PerfCost-1be2: Processed 2270 samples out of 10000, 0 errors
19:46:54,212 INFO Experiment.PerfCost-1be2: Processed 2280 samples out of 10000, 0 errors
19:47:04,338 INFO Experiment.PerfCost-1be2: Processed 2290 samples out of 10000, 0 errors
19:47:14,447 INFO Experiment.PerfCost-1be2: Processed 2300 samples out of 10000, 0 errors
19:47:24,555 INFO Experiment.PerfCost-1be2: Processed 2310 samples out of 10000, 0 errors
19:47:34,653 INFO Experiment.PerfCost-1be2: Processed 2320 samples out of 10000, 0 errors
19:47:44,749 INFO Experiment.PerfCost-1be2: Processed 2330 samples out of 10000, 0 errors
19:47:54,851 INFO Experiment.PerfCost-1be2: Processed 2340 samples out of 10000, 0 errors
19:48:04,967 INFO Experiment.PerfCost-1be2: Processed 2350 samples out of 10000, 0 errors
19:48:15,83 INFO Experiment.PerfCost-1be2: Processed 2360 samples out of 10000, 0 errors
19:48:25,195 INFO Experiment.PerfCost-1be2: Processed 2370 samples out of 10000, 0 errors
19:48:35,299 INFO Experiment.PerfCost-1be2: Processed 2380 samples out of 10000, 0 errors
19:48:45,410 INFO Experiment.PerfCost-1be2: Processed 2390 samples out of 10000, 0 errors
19:48:55,524 INFO Experiment.PerfCost-1be2: Processed 2400 samples out of 10000, 0 errors
19:49:05,625 INFO Experiment.PerfCost-1be2: Processed 2410 samples out of 10000, 0 errors
19:49:15,750 INFO Experiment.PerfCost-1be2: Processed 2420 samples out of 10000, 0 errors
19:49:25,902 INFO Experiment.PerfCost-1be2: Processed 2430 samples out of 10000, 0 errors
19:49:36,7 INFO Experiment.PerfCost-1be2: Processed 2440 samples out of 10000, 0 errors
19:49:46,125 INFO Experiment.PerfCost-1be2: Processed 2450 samples out of 10000, 0 errors
19:49:56,225 INFO Experiment.PerfCost-1be2: Processed 2460 samples out of 10000, 0 errors
19:50:06,323 INFO Experiment.PerfCost-1be2: Processed 2470 samples out of 10000, 0 errors
19:50:16,424 INFO Experiment.PerfCost-1be2: Processed 2480 samples out of 10000, 0 errors
19:50:26,530 INFO Experiment.PerfCost-1be2: Processed 2490 samples out of 10000, 0 errors
19:50:36,637 INFO Experiment.PerfCost-1be2: Processed 2500 samples out of 10000, 0 errors
19:50:46,739 INFO Experiment.PerfCost-1be2: Processed 2510 samples out of 10000, 0 errors
19:50:56,885 INFO Experiment.PerfCost-1be2: Processed 2520 samples out of 10000, 0 errors
19:51:06,997 INFO Experiment.PerfCost-1be2: Processed 2530 samples out of 10000, 0 errors
19:51:17,107 INFO Experiment.PerfCost-1be2: Processed 2540 samples out of 10000, 0 errors
19:51:27,219 INFO Experiment.PerfCost-1be2: Processed 2550 samples out of 10000, 0 errors
19:51:37,330 INFO Experiment.PerfCost-1be2: Processed 2560 samples out of 10000, 0 errors
19:51:47,435 INFO Experiment.PerfCost-1be2: Processed 2570 samples out of 10000, 0 errors
19:51:57,534 INFO Experiment.PerfCost-1be2: Processed 2580 samples out of 10000, 0 errors
19:52:07,658 INFO Experiment.PerfCost-1be2: Processed 2590 samples out of 10000, 0 errors
19:52:17,758 INFO Experiment.PerfCost-1be2: Processed 2600 samples out of 10000, 0 errors
19:52:27,860 INFO Experiment.PerfCost-1be2: Processed 2610 samples out of 10000, 0 errors
19:52:37,969 INFO Experiment.PerfCost-1be2: Processed 2620 samples out of 10000, 0 errors
19:52:48,65 INFO Experiment.PerfCost-1be2: Processed 2630 samples out of 10000, 0 errors
19:52:58,171 INFO Experiment.PerfCost-1be2: Processed 2640 samples out of 10000, 0 errors
19:53:08,272 INFO Experiment.PerfCost-1be2: Processed 2650 samples out of 10000, 0 errors
19:53:18,380 INFO Experiment.PerfCost-1be2: Processed 2660 samples out of 10000, 0 errors
19:53:28,483 INFO Experiment.PerfCost-1be2: Processed 2670 samples out of 10000, 0 errors
19:53:38,635 INFO Experiment.PerfCost-1be2: Processed 2680 samples out of 10000, 0 errors
19:53:48,732 INFO Experiment.PerfCost-1be2: Processed 2690 samples out of 10000, 0 errors
19:53:58,841 INFO Experiment.PerfCost-1be2: Processed 2700 samples out of 10000, 0 errors
19:54:08,957 INFO Experiment.PerfCost-1be2: Processed 2710 samples out of 10000, 0 errors
19:54:19,73 INFO Experiment.PerfCost-1be2: Processed 2720 samples out of 10000, 0 errors
19:54:29,173 INFO Experiment.PerfCost-1be2: Processed 2730 samples out of 10000, 0 errors
19:54:39,279 INFO Experiment.PerfCost-1be2: Processed 2740 samples out of 10000, 0 errors
19:54:49,376 INFO Experiment.PerfCost-1be2: Processed 2750 samples out of 10000, 0 errors
19:54:59,483 INFO Experiment.PerfCost-1be2: Processed 2760 samples out of 10000, 0 errors
