19:39:34,775 INFO SeBS-c6b9: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel
19:39:35,93 INFO OpenWhisk.Resources-151e: Using user-provided configuration of storage for OpenWhisk.
19:39:35,94 INFO OpenWhisk-24e9: Using existing resource name: 8504288e.
19:39:35,98 INFO Benchmark-0fec: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
20:10:02,355 INFO Experiment.PerfCost-0e34: Processed 1660 samples out of 10000, 0 errors
20:10:13,99 INFO Experiment.PerfCost-0e34: Processed 1670 samples out of 10000, 0 errors
20:10:23,806 INFO Experiment.PerfCost-0e34: Processed 1680 samples out of 10000, 0 errors
20:10:34,526 INFO Experiment.PerfCost-0e34: Processed 1690 samples out of 10000, 0 errors
20:10:45,340 INFO Experiment.PerfCost-0e34: Processed 1700 samples out of 10000, 0 errors
20:10:56,62 INFO Experiment.PerfCost-0e34: Processed 1710 samples out of 10000, 0 errors
20:11:06,774 INFO Experiment.PerfCost-0e34: Processed 1720 samples out of 10000, 0 errors
20:11:17,492 INFO Experiment.PerfCost-0e34: Processed 1730 samples out of 10000, 0 errors
20:11:28,201 INFO Experiment.PerfCost-0e34: Processed 1740 samples out of 10000, 0 errors
20:11:38,925 INFO Experiment.PerfCost-0e34: Processed 1750 samples out of 10000, 0 errors
20:11:49,669 INFO Experiment.PerfCost-0e34: Processed 1760 samples out of 10000, 0 errors
20:12:00,345 INFO Experiment.PerfCost-0e34: Processed 1770 samples out of 10000, 0 errors
20:12:11,74 INFO Experiment.PerfCost-0e34: Processed 1780 samples out of 10000, 0 errors
20:12:21,806 INFO Experiment.PerfCost-0e34: Processed 1790 samples out of 10000, 0 errors
20:12:32,548 INFO Experiment.PerfCost-0e34: Processed 1800 samples out of 10000, 0 errors
20:12:43,279 INFO Experiment.PerfCost-0e34: Processed 1810 samples out of 10000, 0 errors
20:12:54,23 INFO Experiment.PerfCost-0e34: Processed 1820 samples out of 10000, 0 errors
20:13:04,736 INFO Experiment.PerfCost-0e34: Processed 1830 samples out of 10000, 0 errors
20:13:15,467 INFO Experiment.PerfCost-0e34: Processed 1840 samples out of 10000, 0 errors
20:13:26,173 INFO Experiment.PerfCost-0e34: Processed 1850 samples out of 10000, 0 errors
20:13:36,880 INFO Experiment.PerfCost-0e34: Processed 1860 samples out of 10000, 0 errors
20:13:47,582 INFO Experiment.PerfCost-0e34: Processed 1870 samples out of 10000, 0 errors
20:13:58,313 INFO Experiment.PerfCost-0e34: Processed 1880 samples out of 10000, 0 errors
20:14:08,996 INFO Experiment.PerfCost-0e34: Processed 1890 samples out of 10000, 0 errors
20:14:19,706 INFO Experiment.PerfCost-0e34: Processed 1900 samples out of 10000, 0 errors
20:14:30,405 INFO Experiment.PerfCost-0e34: Processed 1910 samples out of 10000, 0 errors
20:14:41,160 INFO Experiment.PerfCost-0e34: Processed 1920 samples out of 10000, 0 errors
20:14:51,829 INFO Experiment.PerfCost-0e34: Processed 1930 samples out of 10000, 0 errors
20:15:02,569 INFO Experiment.PerfCost-0e34: Processed 1940 samples out of 10000, 0 errors
20:15:13,300 INFO Experiment.PerfCost-0e34: Processed 1950 samples out of 10000, 0 errors
20:15:24,16 INFO Experiment.PerfCost-0e34: Processed 1960 samples out of 10000, 0 errors
